location,target,target_end_date,forecast_date,point,quantile
US,Cumulative Cases,2020-06-28,2020-06-27,2317526.5,NA
US,Cumulative Cases,2020-06-29,2020-06-27,2337096,NA
US,Cumulative Cases,2020-06-30,2020-06-27,2357610.8,NA
US,Cumulative Cases,2020-07-01,2020-06-27,2379191,NA
US,Cumulative Cases,2020-07-02,2020-06-27,2401885.5,NA
US,Cumulative Cases,2020-07-03,2020-06-27,2425707,NA
US,Cumulative Cases,2020-07-04,2020-06-27,2450627.5,NA
US,Cumulative Cases,2020-07-05,2020-06-27,2476585,NA
US,Cumulative Cases,2020-07-06,2020-06-27,2503514.2,NA
US,Cumulative Cases,2020-07-07,2020-06-27,2531246.2,NA
US,Cumulative Cases,2020-07-08,2020-06-27,2559581.2,NA
US,Cumulative Cases,2020-07-09,2020-06-27,2588379.5,NA
US,Cumulative Cases,2020-07-10,2020-06-27,2617536.2,NA
US,Cumulative Cases,2020-07-11,2020-06-27,2646981.5,NA
US,Cumulative Cases,2020-07-12,2020-06-27,2676688,NA
US,Cumulative Cases,2020-07-13,2020-06-27,2706680.5,NA
US,Cumulative Cases,2020-07-14,2020-06-27,2736863,NA
US,Cumulative Cases,2020-07-15,2020-06-27,2767146.2,NA
US,Cumulative Cases,2020-07-16,2020-06-27,2797494.8,NA
US,Cumulative Cases,2020-07-17,2020-06-27,2827850,NA
US,Cumulative Cases,2020-07-18,2020-06-27,2858170.2,NA
US,Cumulative Cases,2020-07-19,2020-06-27,2888165.8,NA
US,Cumulative Cases,2020-07-20,2020-06-27,2918244.5,NA
US,Cumulative Cases,2020-07-21,2020-06-27,2948276,NA
US,Cumulative Cases,2020-07-22,2020-06-27,2978127.8,NA
US,Cumulative Cases,2020-07-23,2020-06-27,3007704.5,NA
US,Cumulative Cases,2020-07-24,2020-06-27,3036965.5,NA
US,Cumulative Cases,2020-07-25,2020-06-27,3065929.8,NA
US,Cumulative Cases,2020-07-26,2020-06-27,3094512.5,NA
US,Cumulative Cases,2020-07-27,2020-06-27,3122695.5,NA
US,Cumulative Cases,2020-07-28,2020-06-27,3150357,NA
US,Cumulative Cases,2020-07-29,2020-06-27,3177570.5,NA
US,Cumulative Cases,2020-07-30,2020-06-27,3204341.5,NA
US,Cumulative Cases,2020-07-31,2020-06-27,3230656,NA
US,Cumulative Cases,2020-08-01,2020-06-27,3256561.8,NA
