location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-08,2020-07-07,1480573.1,NA
US,Daily Cases,2020-07-09,2020-07-07,1503096,NA
US,Daily Cases,2020-07-10,2020-07-07,1526721,NA
US,Daily Cases,2020-07-11,2020-07-07,1551442.1,NA
US,Daily Cases,2020-07-12,2020-07-07,1577418,NA
US,Daily Cases,2020-07-13,2020-07-07,1604511.2,NA
US,Daily Cases,2020-07-14,2020-07-07,1632672.5,NA
US,Daily Cases,2020-07-15,2020-07-07,1661696.6,NA
US,Daily Cases,2020-07-16,2020-07-07,1691503.8,NA
US,Daily Cases,2020-07-17,2020-07-07,1721873.6,NA
US,Daily Cases,2020-07-18,2020-07-07,1752822.6,NA
US,Daily Cases,2020-07-19,2020-07-07,1784213.5,NA
US,Daily Cases,2020-07-20,2020-07-07,1816017.2,NA
US,Daily Cases,2020-07-21,2020-07-07,1848056.2,NA
US,Daily Cases,2020-07-22,2020-07-07,1880275,NA
US,Daily Cases,2020-07-23,2020-07-07,1912525,NA
US,Daily Cases,2020-07-24,2020-07-07,1944806.2,NA
US,Daily Cases,2020-07-25,2020-07-07,1977030.1,NA
US,Daily Cases,2020-07-26,2020-07-07,2009238.5,NA
US,Daily Cases,2020-07-27,2020-07-07,2041340.2,NA
US,Daily Cases,2020-07-28,2020-07-07,2073348.4,NA
US,Daily Cases,2020-07-29,2020-07-07,2105658.2,NA
US,Daily Cases,2020-07-30,2020-07-07,2138106.5,NA
US,Daily Cases,2020-07-31,2020-07-07,2171013,NA
US,Daily Cases,2020-08-01,2020-07-07,2204144.8,NA
