date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,4,0,3,8,0,0,2,0,0,0,14,0,0,0,0,0,0,7,0,21,0,0,0,36,0,0,0,15,48,66
2020-01-02,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,34,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,5,0,3,14,0,0,2,0,0,0,17,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,23,30,47
2020-01-03,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,1,13,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,5,0,4,19,0,0,1,0,0,0,15,0,0,0,0,0,0,10,0,12,0,0,0,31,0,0,0,31,58,21
2020-01-04,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,58,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,3,17,0,0,2,1,0,1,11,0,0,0,0,0,0,11,0,18,0,0,0,67,0,0,0,16,64,15
2020-01-05,0,0,0,0,0,0,0,0,0,0,18,0,0,0,34,0,0,0,0,36,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,2,11,0,0,1,0,0,1,16,0,0,0,0,0,0,15,0,20,0,0,0,100,0,0,0,31,75,11
2020-01-06,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,5,0,4,18,0,0,4,0,0,0,14,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,22,39,8
2020-01-07,0,0,0,0,0,0,0,0,0,0,8,0,0,0,29,0,0,0,0,38,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,4,0,4,18,0,0,2,0,0,0,10,0,0,0,0,0,0,20,0,19,0,0,0,60,0,0,0,25,33,15
2020-01-08,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,4,20,0,3,2,0,0,0,13,0,0,0,0,0,0,17,0,9,0,0,0,0,40,0,0,35,39,7
2020-01-09,0,0,0,0,0,0,0,0,0,0,12,0,0,0,29,0,0,0,0,28,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,5,0,5,21,0,0,2,0,0,0,10,3,0,0,0,0,0,17,0,9,0,0,0,29,0,0,0,27,45,8
2020-01-10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,30,0,0,0,0,29,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,5,0,3,19,0,0,3,0,0,0,12,0,0,0,0,0,0,15,0,13,0,0,0,30,0,0,0,33,51,9
2020-01-11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,5,0,3,8,0,0,1,1,0,1,11,3,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,23,64,13
2020-01-12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,33,0,0,0,0,43,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,3,11,0,0,2,1,0,1,14,0,0,0,0,0,0,12,0,13,0,0,0,33,0,0,0,21,64,12
2020-01-13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,41,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,6,0,4,17,0,0,1,0,0,1,10,0,0,0,0,0,0,9,0,16,0,0,0,41,0,0,0,30,54,27
