date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,36,0,2,12,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,0,1,19,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,13,40,78
2020-01-02,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,4,0,3,21,0,0,5,0,1,1,27,0,0,0,0,0,0,20,0,27,0,0,0,0,0,0,1,16,45,52
2020-01-03,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,30,0,2,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,3,16,0,0,5,0,1,1,18,0,0,0,0,0,0,20,0,26,0,0,0,0,0,0,0,11,39,31
2020-01-04,0,0,0,0,0,0,0,0,0,0,20,0,0,0,55,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,3,0,2,18,0,0,10,0,1,1,22,0,0,0,0,0,0,23,0,15,0,0,0,0,0,0,1,24,37,18
2020-01-05,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,32,0,1,17,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,2,14,0,0,5,1,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,33,10
2020-01-06,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,3,0,3,25,0,0,4,1,1,1,19,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,14,22,16
2020-01-07,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,29,0,1,19,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,4,0,5,28,0,0,0,1,1,1,30,22,0,0,0,0,0,20,0,21,0,0,0,0,98,0,1,14,27,9
2020-01-08,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,4,18,0,0,0,0,1,1,25,0,0,0,0,0,0,19,0,13,0,0,0,0,0,0,1,21,49,11
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,29,0,1,19,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,4,18,0,0,5,0,1,1,13,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,1,10,32,9
2020-01-10,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,30,0,2,13,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,3,0,3,16,0,0,5,1,0,1,26,0,0,0,0,0,0,20,0,13,0,0,0,0,0,0,1,21,54,10
2020-01-11,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,4,0,4,9,0,0,5,3,1,1,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,12,50,12
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,2,13,0,0,5,0,1,3,22,0,0,0,0,0,0,22,0,15,0,0,0,58,0,0,0,24,47,14
2020-01-13,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,27,0,0,12,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,4,0,6,35,0,0,4,0,0,1,12,0,0,0,0,0,0,18,0,23,0,0,0,47,0,0,0,19,22,28
2020-01-14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,26,0,1,17,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,3,0,4,20,0,0,0,0,1,1,22,0,0,0,0,0,0,35,0,23,0,0,0,0,0,0,0,12,27,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,28,0,0,14,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,4,0,4,15,0,0,0,2,1,1,49,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,26,41,11
2020-01-16,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,3,13,0,0,4,0,0,1,17,0,0,0,0,0,0,19,0,38,0,0,0,0,0,0,1,26,47,3
