date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,3,0,2,32,0,0,0,0,1,0,61,0,0,0,0,0,0,46,0,11,0,0,0,0,0,0,1,11,25,93
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,16,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,4,0,3,28,0,0,3,0,0,1,28,0,0,0,0,0,0,28,0,20,0,0,0,0,0,0,0,22,28,52
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,59,0,1,11,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,5,0,3,54,0,0,3,2,0,2,46,0,0,0,0,0,0,14,0,29,0,0,0,53,0,0,0,17,38,21
2020-01-04,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,6,0,3,27,0,0,3,0,0,1,80,0,0,0,0,0,0,30,0,32,0,0,0,0,0,0,0,24,54,22
2020-01-05,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,4,0,3,18,0,0,6,0,0,1,46,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,21,80,12
2020-01-06,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,27,0,1,10,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,4,0,3,26,0,0,3,0,1,1,52,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,14,42,9
2020-01-07,0,0,0,0,0,0,0,0,0,0,15,0,0,0,88,0,0,0,0,29,0,1,21,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,4,0,4,33,0,0,4,0,1,1,30,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,19,44,12
2020-01-08,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,4,0,4,20,0,0,6,0,1,1,49,0,0,0,0,0,0,21,0,16,0,0,0,0,0,0,0,17,29,7
2020-01-09,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,3,20,0,0,9,2,1,0,75,0,0,0,0,0,0,47,0,15,0,0,0,54,0,0,0,22,35,6
2020-01-10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,45,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,5,0,3,28,0,0,3,2,0,1,38,0,0,0,0,0,0,21,0,13,0,0,0,54,0,0,0,7,49,8
2020-01-11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,4,0,4,22,0,0,3,4,0,3,55,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,16,68,15
2020-01-12,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,4,0,5,18,0,0,3,4,1,1,54,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,16,50,14
2020-01-13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,3,23,0,0,0,0,0,2,34,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,37,33
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,5,0,5,17,0,0,0,0,0,1,43,0,0,0,0,0,0,36,0,13,0,0,0,46,0,0,0,15,17,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,3,0,5,30,0,0,4,0,1,2,54,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,1,21,34,11
2020-01-16,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,4,34,0,0,0,0,1,1,25,0,0,0,0,0,0,28,0,10,0,0,0,53,0,0,0,22,54,6
2020-01-17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,4,0,4,30,0,0,0,0,0,1,25,0,0,0,0,0,0,21,0,20,0,0,0,0,0,0,0,30,18,4
2020-01-18,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,6,0,5,19,0,0,3,0,1,1,36,0,0,0,0,0,0,16,0,28,0,0,0,0,0,0,0,14,88,8
2020-01-19,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,2,23,0,0,3,0,0,1,62,0,0,0,0,0,0,26,0,18,0,0,0,0,0,0,0,16,53,4
2020-01-20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,30,0,1,43,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,4,0,3,23,0,0,5,0,1,1,76,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,26,29,2
2020-01-21,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,19,0,0,0,0,5,0,0,6,0,4,25,0,0,3,2,2,1,19,0,0,0,0,0,0,35,0,13,0,0,0,0,0,0,0,20,34,5
2020-01-22,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,58,0,2,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,3,28,0,0,0,3,0,0,25,0,0,0,0,0,0,14,0,19,0,0,0,53,0,0,0,14,35,3
2020-01-23,0,0,0,0,0,0,0,0,0,2,15,0,0,0,45,0,0,0,0,58,0,2,11,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,5,0,4,17,0,0,3,2,1,1,74,0,0,0,0,0,0,21,0,10,0,0,0,0,0,0,0,10,34,4
2020-01-24,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,6,0,4,32,0,0,3,3,0,0,36,0,0,0,0,0,0,13,0,22,0,0,0,52,0,0,0,14,35,3
2020-01-25,0,0,0,0,0,0,0,0,0,8,16,0,0,0,49,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,4,14,0,0,3,3,1,1,61,0,0,0,0,0,0,15,0,28,0,0,0,0,0,0,0,8,71,4
2020-01-26,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,8,0,3,28,0,0,3,2,1,0,49,0,0,0,0,0,0,14,0,19,0,0,0,53,0,0,0,7,50,3
2020-01-27,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,7,0,4,28,0,0,3,2,0,1,45,0,0,0,0,0,0,29,0,18,0,0,0,0,0,0,0,13,21,3
2020-01-28,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,7,0,5,37,0,0,4,3,0,1,23,0,0,0,0,0,0,26,0,28,0,0,0,0,0,0,0,18,27,4
2020-01-29,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,29,0,0,0,0,3,0,0,6,0,4,25,0,0,3,3,0,0,25,0,0,0,0,0,0,27,0,23,0,0,0,0,0,0,0,14,35,3
2020-01-30,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,7,0,4,20,0,0,3,2,2,1,19,12,0,0,0,0,0,14,0,33,0,0,0,0,0,0,1,7,31,3
2020-01-31,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,0,0,0,30,0,2,22,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,7,0,4,40,0,0,5,2,1,1,19,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,1,17,20,3
2020-02-01,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,8,0,3,0,0,0,3,5,0,1,28,0,0,0,0,0,0,16,0,30,0,0,0,60,0,0,0,8,61,1
2020-02-02,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,67,0,2,24,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,6,0,3,14,0,0,7,5,0,0,49,0,0,0,0,0,0,31,0,30,0,0,0,60,0,0,1,8,45,4
2020-02-03,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,53,0,1,19,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,6,0,5,17,0,11,3,2,1,1,22,0,0,0,0,0,0,25,0,26,0,0,0,0,0,0,0,11,22,3
