date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,4,0,1,26,0,0,0,1,0,2,28,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,1,17,32,69
2020-01-02,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,5,0,3,27,0,0,0,0,1,1,28,0,0,0,0,0,0,19,0,20,0,0,0,0,0,0,1,21,27,46
2020-01-03,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,43,0,1,7,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,3,17,0,0,3,0,0,1,28,0,0,0,0,0,0,19,0,17,0,0,0,35,0,0,0,23,34,26
2020-01-04,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,2,30,0,0,8,0,0,2,18,0,0,0,0,0,0,14,0,29,0,0,0,0,0,0,1,26,58,18
2020-01-05,0,0,0,0,0,0,0,0,0,0,30,0,0,0,31,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,6,0,2,12,0,0,6,0,1,1,30,0,0,0,0,0,0,14,0,18,0,0,0,39,0,0,0,15,43,9
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,1,9,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,3,0,4,21,0,0,7,0,1,1,27,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,1,27,21,13
2020-01-07,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0,0,0,0,86,0,1,12,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,3,0,4,16,0,0,3,0,0,1,16,0,0,0,0,0,0,13,0,17,0,0,0,53,0,0,0,14,37,15
2020-01-08,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,43,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,5,0,5,30,0,0,3,0,1,1,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,58,8
2020-01-09,0,0,0,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,0,43,0,1,11,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,5,0,3,22,0,0,3,0,0,1,12,0,0,0,0,0,0,21,0,13,0,0,0,0,0,0,0,33,55,8
2020-01-10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,5,0,4,27,0,0,0,0,1,1,12,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,0,43,46,7
2020-01-11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,34,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,5,0,2,18,0,0,0,1,0,1,14,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,1,28,62,16
2020-01-12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,32,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,4,17,0,0,4,1,0,1,33,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,55,10
2020-01-13,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,60,0,1,7,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,6,0,4,27,0,0,6,0,1,1,16,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,26,60,34
2020-01-14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,43,0,0,0,0,2,0,0,5,0,4,18,0,0,3,1,0,1,21,0,0,0,0,0,0,15,0,19,0,0,0,0,0,0,1,37,46,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,1,14,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,5,0,3,21,0,0,3,0,1,1,11,0,0,0,0,0,0,20,0,22,0,0,0,0,0,0,0,34,54,6
2020-01-16,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,44,0,0,9,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,5,28,0,0,7,0,1,1,18,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,1,33,53,4
2020-01-17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,29,0,0,0,0,45,0,2,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,2,17,0,0,3,1,1,1,24,0,0,0,0,0,0,19,0,9,0,0,0,0,0,0,0,29,56,9
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,5,0,4,18,0,0,4,1,2,1,19,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,84,5
2020-01-19,0,0,0,0,0,0,0,0,0,0,16,0,0,0,32,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,6,0,4,17,0,0,4,0,0,1,18,0,0,0,0,0,0,33,0,19,0,0,0,0,0,0,1,39,90,8
2020-01-20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,5,0,4,20,0,0,11,1,1,1,16,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,34,72,6
2020-01-21,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,43,0,1,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,3,26,0,0,3,1,0,2,16,0,0,0,0,0,0,19,0,17,0,0,0,36,0,0,0,14,47,5
2020-01-22,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,43,0,1,11,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,5,0,4,17,0,8,3,2,1,1,18,9,0,0,0,0,0,13,0,14,0,0,0,36,0,0,0,35,70,3
2020-01-23,0,0,0,0,0,0,0,0,0,3,28,0,0,0,28,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,3,22,0,0,0,3,1,1,24,0,0,0,0,0,0,21,0,17,0,0,0,0,0,0,1,28,50,2
2020-01-24,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,7,0,4,11,0,0,7,2,0,1,18,0,0,0,0,0,0,19,0,14,0,0,0,0,0,0,1,21,60,4
2020-01-25,0,0,0,0,0,0,0,0,0,7,16,0,0,0,100,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,3,23,0,0,4,1,0,1,21,0,0,0,0,0,0,30,0,34,0,0,0,0,0,0,1,33,100,4
2020-01-26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,9,0,3,21,0,0,0,2,0,1,25,0,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,15,95,4
2020-01-27,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,41,0,2,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,4,15,0,0,3,1,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,33,0,0,0,31,42,4
2020-01-28,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,43,0,2,10,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,12,0,4,28,0,8,3,3,1,1,12,9,0,0,0,0,0,12,0,12,0,0,0,0,0,0,1,28,40,4
2020-01-29,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,43,0,1,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,4,22,0,0,3,2,1,1,36,0,0,0,0,0,0,34,0,28,0,0,0,0,0,0,1,33,54,3
2020-01-30,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,13,0,3,18,0,0,3,1,1,1,28,0,0,0,0,0,0,34,0,17,0,0,0,0,0,0,1,14,66,4
2020-01-31,0,0,0,0,0,0,0,0,0,10,14,0,0,0,29,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,12,0,2,10,0,0,0,3,1,3,36,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,4,29,37,2
2020-02-01,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,76,0,2,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,13,0,2,18,0,0,0,9,0,1,35,0,0,0,0,0,0,15,0,24,0,0,0,83,0,0,2,0,77,4
2020-02-02,0,0,0,0,0,0,0,0,0,8,16,0,0,0,32,0,0,0,0,48,0,2,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,4,15,0,0,4,6,1,1,20,0,0,0,0,0,0,14,0,25,0,0,0,0,0,0,1,16,66,5
2020-02-03,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,39,0,2,6,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,8,0,4,12,0,0,4,2,1,0,14,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,1,21,37,6
2020-02-04,0,0,0,0,0,0,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,10,0,4,19,0,0,3,3,1,1,19,0,0,0,0,0,0,25,0,22,0,0,0,0,0,0,0,21,39,2
2020-02-05,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,42,0,3,25,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,4,13,0,0,3,1,1,2,12,0,0,0,0,0,0,12,0,29,0,0,0,52,0,0,0,27,50,3
2020-02-06,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,42,0,2,7,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,10,0,4,17,0,0,3,1,1,1,29,0,0,0,0,0,0,19,0,11,0,0,0,0,0,0,0,14,44,5
2020-02-07,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,8,0,4,24,0,0,3,0,1,1,0,9,0,0,0,0,0,25,0,14,0,0,0,35,0,0,1,14,54,3
2020-02-08,0,0,0,0,0,0,0,0,0,7,17,0,0,0,33,0,0,0,0,52,0,4,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,3,15,0,0,6,3,1,1,42,0,0,0,0,0,0,44,0,20,0,0,0,0,0,0,1,24,93,5
2020-02-09,0,0,0,0,0,0,0,0,0,6,32,0,0,0,33,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,17,0,0,4,0,0,0,14,0,0,0,0,0,0,24,0,19,0,0,0,0,0,0,0,27,77,2
2020-02-10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,41,0,1,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,4,17,0,8,0,3,1,1,23,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,44,36,3
2020-02-11,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,42,0,1,14,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,6,0,3,17,0,0,7,2,1,1,19,0,0,0,0,0,0,18,0,12,0,0,0,34,0,0,1,27,50,4
2020-02-12,20,31,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,42,0,2,9,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,5,26,0,0,3,1,0,1,12,0,0,0,0,0,0,37,0,14,0,0,0,0,0,0,1,13,40,1
2020-02-13,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,7,0,3,17,0,0,5,2,1,1,12,0,0,0,0,0,33,13,0,33,0,0,0,0,0,0,1,18,45,3
2020-02-14,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,1,0,0,90,0,1,7,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,6,0,3,9,0,0,4,1,0,1,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,22,47,3
2020-02-15,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,2,16,0,0,0,1,0,1,42,0,0,0,0,0,0,15,0,17,0,0,0,0,71,0,0,17,72,1
2020-02-16,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,5,0,51,0,2,8,0,0,0,0,0,0,2,9,0,0,0,0,2,0,0,7,0,4,8,0,0,4,1,0,1,23,0,0,0,0,0,0,45,0,15,0,0,0,0,0,0,0,0,94,3
2020-02-17,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,46,0,1,11,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,6,0,4,24,0,0,4,2,1,1,17,0,0,0,0,0,0,20,0,27,0,0,0,0,0,0,1,34,60,2
2020-02-18,0,0,0,0,0,0,0,0,0,3,18,0,1,0,27,0,0,0,0,42,0,2,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,3,29,0,8,5,2,1,1,17,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,14,70,3
2020-02-19,0,0,0,0,0,0,0,0,0,3,13,0,0,0,27,0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,4,17,0,0,0,1,1,1,11,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,1,20,56,4
2020-02-20,0,0,0,0,0,0,0,0,0,3,14,0,0,0,28,0,1,0,0,0,0,1,23,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,4,17,0,0,7,2,1,1,23,0,0,0,0,0,0,12,0,24,0,50,0,35,0,0,0,61,58,2
2020-02-21,0,0,0,0,0,4,0,0,0,3,14,0,0,0,0,0,0,0,0,86,0,1,12,0,0,0,0,0,0,2,15,0,0,0,0,2,0,0,6,0,3,20,0,0,3,0,1,1,24,9,0,0,0,0,0,17,0,42,0,0,0,0,0,0,0,21,55,3
2020-02-22,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,1,3,0,0,0,1,16,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,2,15,0,0,0,1,0,1,41,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,1,16,70,2
2020-02-23,0,0,0,0,0,5,0,0,0,4,16,0,0,0,32,0,1,3,0,0,0,2,11,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,9,0,2,22,0,0,0,1,0,1,13,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,1,16,81,2
2020-02-24,19,30,0,0,0,4,0,0,0,8,0,0,0,0,0,0,1,3,0,42,0,3,17,0,7,0,0,0,0,3,18,0,0,0,0,2,0,0,9,0,4,23,0,0,5,3,0,1,15,0,0,0,0,0,0,18,0,30,0,0,0,0,0,0,1,27,33,4
2020-02-25,37,0,37,0,0,0,0,0,0,10,20,0,0,0,0,33,2,2,0,41,0,3,18,0,14,0,0,0,0,1,32,0,0,0,0,3,0,0,16,0,4,23,0,0,5,2,0,1,11,0,0,50,0,0,0,12,0,16,0,0,0,0,0,0,0,26,36,4
2020-02-26,0,0,0,0,0,4,0,0,0,16,0,29,0,14,27,0,2,4,0,41,0,3,10,0,14,0,0,0,0,2,33,0,0,0,0,0,0,0,29,0,4,23,0,8,3,2,0,1,22,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,1,26,52,2
2020-02-27,0,0,0,0,0,4,0,0,0,18,13,14,0,0,0,33,2,4,0,41,0,4,10,0,10,0,0,50,0,2,33,0,0,0,0,3,0,0,30,4,4,31,0,8,5,3,1,1,17,0,0,0,21,0,0,12,0,11,0,0,0,0,0,0,1,27,68,2
2020-02-28,0,0,0,0,0,4,0,2,0,19,21,0,0,0,0,0,3,2,0,43,0,3,7,0,19,0,0,0,0,2,37,0,0,0,0,0,0,0,26,0,5,23,0,8,4,3,1,1,18,0,0,0,0,0,0,25,0,21,2,0,0,0,0,0,1,14,29,3
2020-02-29,0,0,0,0,0,9,0,2,0,22,16,0,0,0,0,0,3,3,0,0,0,4,0,0,9,0,0,0,0,2,26,0,0,0,0,0,0,0,25,5,3,15,0,23,4,6,1,1,53,0,0,0,0,0,0,14,0,10,2,0,0,0,0,0,1,16,84,2
2020-03-01,0,0,0,0,0,5,0,0,0,17,15,0,0,0,0,0,4,3,0,0,0,2,15,0,21,0,0,0,0,2,30,0,0,0,0,4,0,0,17,0,3,12,0,9,4,5,1,1,20,0,0,0,0,0,37,21,0,0,0,0,0,0,0,30,1,26,76,2
2020-03-02,19,0,0,0,0,4,0,0,0,27,27,14,0,0,27,0,5,3,0,0,0,4,11,55,14,0,0,0,0,5,36,0,0,0,0,0,0,0,17,0,4,17,0,15,5,5,1,1,34,0,0,0,0,0,0,28,0,32,0,0,0,0,0,25,1,20,58,1
2020-03-03,0,0,0,0,0,4,0,2,0,24,26,0,0,0,0,0,5,7,0,41,32,3,11,0,17,0,0,0,0,2,31,0,0,0,0,0,0,0,12,0,3,33,0,38,5,3,1,1,11,0,0,50,0,0,0,12,27,24,2,97,0,33,56,0,2,40,30,3
2020-03-04,0,0,0,33,0,4,0,0,0,26,13,0,0,0,27,0,6,4,0,82,0,5,7,0,14,0,0,0,0,4,34,0,0,0,0,0,0,0,14,0,5,23,0,12,5,6,0,1,22,0,0,0,0,0,0,12,0,24,0,0,0,0,0,0,1,13,69,3
2020-03-05,19,0,0,0,0,4,0,2,0,44,22,15,0,14,27,0,10,13,0,41,33,8,7,0,26,0,0,0,0,3,36,0,0,0,0,2,0,30,15,4,6,35,0,23,4,7,1,1,34,0,0,0,28,0,0,12,0,21,2,0,0,0,56,0,2,40,44,3
2020-03-06,0,0,0,0,0,4,0,2,0,37,41,20,0,0,27,33,10,10,0,42,0,10,14,0,32,0,0,0,0,6,41,0,37,0,0,3,0,0,12,0,5,25,0,16,0,4,1,1,23,0,0,0,0,0,0,18,0,30,2,100,0,35,0,26,1,13,62,2
