date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,51,0,1,8,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,6,0,3,8,0,0,6,0,0,0,28,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,7,46,73
2020-01-02,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,7,0,4,17,0,0,3,0,0,0,11,0,0,0,0,0,0,27,0,14,0,0,0,0,0,0,0,28,31,41
2020-01-03,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,7,0,4,10,0,0,1,0,1,1,13,0,0,0,0,0,0,12,0,12,0,0,0,35,0,0,1,35,30,20
2020-01-04,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,6,0,2,12,0,0,5,0,0,0,16,0,0,0,0,0,0,8,0,15,0,0,0,44,0,0,0,19,65,17
2020-01-05,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,46,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,8,0,3,15,0,0,3,0,1,1,18,0,0,0,0,0,0,15,0,12,0,0,0,44,0,0,0,22,52,12
2020-01-06,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,6,0,4,19,0,0,2,0,0,1,15,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,31,25,12
2020-01-07,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,26,0,0,13,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,6,0,4,22,0,0,5,0,0,1,16,0,0,0,0,0,0,15,0,11,0,0,0,38,0,0,0,34,38,10
2020-01-08,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,6,0,4,19,0,0,3,1,0,0,11,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,20,41,7
2020-01-09,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,7,0,4,20,0,0,3,0,0,1,19,0,0,0,0,0,0,17,0,9,0,0,0,59,0,0,0,21,42,8
2020-01-10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,22,0,1,14,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,8,0,4,10,0,0,1,1,1,1,16,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,1,43,31,6
2020-01-11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,9,0,3,21,0,0,2,0,0,1,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,26,86,14
2020-01-12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,45,0,1,10,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,8,0,4,12,0,0,2,1,1,1,20,0,0,0,0,0,0,11,0,13,0,0,0,44,0,0,0,23,70,12
2020-01-13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,7,0,4,12,0,0,1,0,0,1,18,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,36,38,33
2020-01-14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,52,0,0,0,0,22,0,1,11,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,7,0,4,27,0,0,3,0,0,1,12,0,0,0,0,0,0,7,0,15,0,0,0,47,0,0,0,30,40,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,17,0,0,0,27,0,0,0,0,23,0,1,15,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,7,0,4,17,0,0,5,0,1,1,12,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,36,52,9
2020-01-16,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,6,0,5,19,0,0,2,0,1,0,11,0,0,0,0,0,0,9,0,5,0,0,0,30,0,0,0,51,47,5
2020-01-17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,29,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,6,0,4,20,0,4,1,0,0,0,9,0,0,0,0,0,0,10,0,20,0,0,0,71,0,0,0,20,45,4
2020-01-18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,9,0,3,14,0,0,2,1,1,0,11,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,33,86,7
2020-01-19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,34,0,0,0,0,58,0,0,16,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,8,0,5,9,0,0,2,0,0,0,14,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,1,34,63,8
2020-01-20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,26,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,7,0,3,19,0,0,5,0,0,0,11,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,23,50,4
2020-01-21,0,0,0,0,0,0,0,0,0,3,8,0,0,0,32,0,0,0,0,27,0,1,16,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,8,0,5,16,0,0,3,1,1,1,10,0,0,0,0,0,0,11,0,31,0,0,0,0,0,0,0,22,29,4
2020-01-22,0,0,0,0,0,0,0,0,0,3,14,0,0,0,32,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,9,0,5,17,0,0,2,2,1,1,14,0,0,0,0,0,0,18,0,16,0,0,0,0,0,0,0,21,66,5
2020-01-23,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,27,0,1,12,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,10,0,5,15,0,4,4,2,1,1,14,0,0,0,0,0,0,16,0,31,0,0,0,0,0,0,1,20,68,4
2020-01-24,0,0,0,0,0,0,0,0,0,6,18,0,0,0,27,0,0,0,0,45,0,2,9,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,10,0,4,18,0,3,0,1,0,0,11,0,0,0,0,0,0,15,0,11,0,0,0,33,0,0,0,51,51,3
2020-01-25,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,64,0,1,13,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,16,0,4,14,0,0,2,1,0,0,15,0,0,0,0,0,0,24,0,19,0,0,0,47,0,0,0,15,92,5
2020-01-26,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,59,0,2,7,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,16,0,3,15,0,0,2,1,0,0,19,0,0,0,0,0,0,15,0,17,0,0,0,56,0,0,1,24,62,5
2020-01-27,0,0,0,0,0,0,0,0,0,11,11,0,0,0,30,0,0,0,0,34,0,2,5,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,18,0,4,22,0,0,4,2,0,0,12,0,0,0,0,0,0,15,0,18,0,0,0,37,0,0,1,31,28,3
2020-01-28,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,26,0,2,10,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,20,0,4,16,0,4,3,2,1,0,8,0,0,0,0,0,0,17,0,28,0,0,0,38,0,0,1,20,54,3
2020-01-29,0,0,0,0,0,0,0,0,0,12,23,0,0,0,32,0,0,0,0,26,0,1,6,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,18,0,5,13,0,0,2,1,1,0,14,0,0,0,0,0,0,13,0,22,0,0,0,38,0,0,1,20,53,3
2020-01-30,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,41,0,4,7,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,19,0,5,17,0,4,5,1,0,1,13,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,1,28,41,3
2020-01-31,0,0,0,0,0,0,0,0,0,12,7,0,0,0,29,0,0,0,0,25,0,3,7,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,17,0,4,13,0,8,1,4,1,7,6,5,0,0,0,0,0,22,0,19,0,0,0,0,0,0,3,32,41,3
2020-02-01,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,30,0,3,8,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,17,0,3,13,0,5,2,7,0,2,14,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,1,20,97,3
2020-02-02,0,0,0,0,0,0,0,0,0,10,18,0,0,0,36,0,0,0,0,61,0,2,10,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,16,0,4,11,0,5,0,5,1,0,21,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,1,13,97,5
2020-02-03,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,36,0,2,16,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,16,0,4,13,0,0,1,2,1,0,17,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,15,29,3
2020-02-04,0,0,0,0,0,0,0,0,0,8,17,0,0,0,31,0,0,0,0,52,0,2,11,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,14,0,4,15,0,0,0,2,1,0,20,0,0,0,0,0,0,15,0,16,0,0,0,38,0,0,1,21,47,2
2020-02-05,0,0,0,0,0,0,0,0,0,6,8,0,0,0,31,0,0,0,0,26,0,2,41,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,10,0,4,15,0,8,2,1,1,1,12,0,0,0,0,0,0,19,0,17,0,0,0,37,0,0,1,32,51,5
2020-02-06,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,26,0,2,17,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,11,0,6,15,0,4,4,2,0,1,12,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,1,20,52,4
2020-02-07,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,27,0,4,16,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,12,0,6,10,0,0,3,3,1,0,19,0,0,0,0,0,0,11,0,22,0,0,0,0,0,0,1,15,51,3
2020-02-08,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,39,0,2,15,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,12,0,3,17,0,0,3,1,0,0,12,0,0,0,0,0,0,9,0,8,0,0,0,56,0,0,1,48,76,3
2020-02-09,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,32,0,2,15,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,11,0,4,12,0,5,7,1,0,0,15,0,0,0,0,0,0,24,0,22,0,0,0,46,0,0,0,16,100,4
2020-02-10,0,0,0,0,0,0,0,0,0,5,18,0,0,0,61,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,8,0,4,18,0,0,1,1,0,0,13,0,0,0,0,0,0,15,0,31,0,0,0,49,0,0,0,26,41,2
2020-02-11,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,1,0,25,0,3,18,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,5,18,0,0,4,1,0,0,13,0,0,0,0,0,0,21,0,22,0,0,0,36,0,0,1,22,31,3
2020-02-12,0,0,0,0,0,0,0,0,0,4,8,0,0,0,30,0,0,0,0,75,0,2,5,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,9,0,5,20,0,0,2,1,1,1,19,0,0,0,0,0,0,12,0,19,0,0,0,36,0,0,0,22,51,3
2020-02-13,0,0,0,0,0,2,0,0,0,5,9,0,0,0,29,0,1,2,0,24,0,2,5,0,3,0,0,0,0,1,17,0,0,0,0,1,0,0,10,0,4,16,0,4,2,2,1,0,8,5,0,0,0,0,0,12,0,14,0,0,0,0,0,0,1,28,65,5
2020-02-14,0,0,0,0,0,0,0,0,0,4,20,0,0,11,31,0,1,1,0,26,24,2,6,0,3,0,0,0,0,1,23,0,0,0,0,1,0,0,9,0,4,11,0,4,2,1,1,0,19,0,0,0,0,0,0,22,0,13,0,0,0,38,0,0,1,25,52,4
2020-02-15,0,0,0,0,0,0,0,0,0,3,14,0,0,0,29,0,0,0,0,50,0,1,12,0,0,0,0,0,0,1,19,0,0,0,0,1,0,0,10,0,4,19,0,4,0,1,0,1,9,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,51,83,3
2020-02-16,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,14,0,0,0,0,1,0,0,10,0,3,11,0,0,2,1,0,0,12,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,16,81,2
2020-02-17,0,0,0,0,0,0,0,0,0,3,12,0,0,0,32,25,1,0,0,54,0,2,9,0,4,0,0,0,0,1,21,33,0,0,0,1,0,0,9,0,4,19,0,4,2,1,1,0,16,0,0,0,0,0,0,17,0,6,0,0,0,38,0,0,0,22,44,2
2020-02-18,0,0,0,0,0,0,0,1,0,4,18,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,9,0,5,11,0,4,3,1,0,0,16,0,0,0,0,0,0,24,0,24,1,0,0,0,0,0,0,32,52,3
2020-02-19,0,0,0,0,0,0,0,0,0,3,11,0,0,0,30,0,1,0,0,38,0,2,9,0,0,0,0,0,0,1,17,0,0,0,0,1,0,0,8,0,5,9,0,4,2,1,0,0,26,0,0,0,0,0,0,10,0,18,0,0,0,36,0,0,1,20,44,3
2020-02-20,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,1,16,0,0,0,0,2,0,0,9,0,5,21,0,0,3,1,1,1,13,0,0,0,0,0,20,6,0,10,0,0,0,0,0,0,0,28,53,3
2020-02-21,0,0,0,0,0,2,0,0,0,3,15,0,0,0,41,0,0,1,0,23,0,1,11,0,0,0,0,0,0,1,21,0,0,0,0,1,0,0,9,0,5,12,0,0,2,1,0,0,15,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,39,41,1
2020-02-22,0,0,0,0,0,2,0,0,0,3,23,0,0,0,63,0,1,0,0,27,0,1,4,0,4,0,0,0,0,2,18,0,0,0,0,1,0,0,11,0,3,8,0,4,4,1,0,0,11,0,0,0,0,0,0,16,0,12,0,0,0,38,0,0,0,31,74,5
2020-02-23,0,0,0,0,0,5,0,1,0,5,13,0,0,0,0,0,1,3,0,0,0,2,18,0,4,0,0,0,0,2,15,0,0,0,0,1,21,0,11,0,4,12,0,5,3,2,1,1,21,0,0,0,0,0,0,10,0,18,1,0,0,0,0,0,1,20,74,3
2020-02-24,0,49,0,0,0,7,0,0,0,8,11,0,0,0,0,0,2,3,0,25,0,3,15,0,8,0,0,0,0,1,20,0,0,0,0,2,0,0,13,2,4,13,0,7,2,2,1,1,14,0,0,36,0,0,0,15,0,15,0,0,0,0,0,25,1,35,49,3
2020-02-25,0,0,0,0,0,2,0,0,0,13,27,0,0,0,0,0,2,1,0,25,0,3,14,0,10,0,24,0,0,2,34,0,0,0,0,1,0,0,21,0,5,16,0,4,1,2,1,1,15,5,0,0,0,0,0,15,0,15,0,0,0,36,0,24,1,15,51,2
2020-02-26,11,0,19,0,0,0,0,1,0,18,16,20,0,0,0,0,3,3,0,24,0,4,12,0,11,0,0,0,0,1,40,0,0,31,0,2,0,0,37,0,5,19,0,11,2,3,1,1,16,0,0,0,0,0,0,14,0,8,1,0,0,35,0,0,1,22,52,2
2020-02-27,22,0,0,0,0,4,0,1,0,23,23,0,0,0,0,23,3,2,0,0,0,6,12,0,13,0,0,0,0,1,39,0,17,0,14,1,17,0,38,2,5,15,40,11,1,6,0,0,7,0,0,0,0,0,0,19,0,23,1,0,0,36,0,0,2,15,55,3
2020-02-28,0,0,0,0,0,2,0,2,0,20,14,10,0,0,0,22,3,3,0,24,0,6,9,0,10,0,0,0,0,1,43,0,0,0,0,1,17,0,32,0,6,14,0,9,3,3,1,0,14,0,0,0,0,0,0,18,0,20,2,0,0,0,0,24,1,25,50,2
2020-02-29,0,0,0,0,0,4,0,0,32,16,12,10,0,0,0,23,3,2,0,0,11,4,4,0,8,0,0,0,0,1,36,0,0,0,0,1,17,0,27,2,3,14,0,18,4,3,0,0,15,0,0,0,0,0,0,15,0,13,0,0,0,36,46,48,1,45,79,3
2020-03-01,0,0,0,0,0,3,0,1,0,17,13,12,0,0,0,82,4,3,57,29,0,4,8,38,9,0,0,0,0,2,17,0,0,0,0,2,21,0,21,0,3,17,0,9,4,4,1,0,21,0,0,0,23,0,0,15,0,8,1,0,0,85,0,0,0,18,96,4
