date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,42,0,1,5,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,4,0,2,11,0,0,2,1,0,1,33,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,22,26,74
2020-01-02,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,4,0,3,23,0,0,2,0,1,1,27,0,0,0,0,0,0,13,0,8,0,0,0,48,0,0,0,27,30,49
2020-01-03,0,0,0,0,0,0,0,0,0,0,19,0,0,0,38,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,4,0,3,27,0,0,3,0,0,1,21,0,0,0,0,0,0,13,0,14,0,0,0,47,0,0,0,27,37,22
2020-01-04,0,0,0,0,0,0,0,0,0,0,10,0,0,0,42,0,0,0,0,26,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,5,0,2,28,0,0,5,0,0,1,33,0,0,0,0,0,0,11,0,8,0,0,0,87,0,0,0,22,53,19
2020-01-05,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,25,0,1,22,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,2,29,0,0,4,0,0,1,19,0,0,0,0,0,0,9,0,10,0,0,0,51,0,0,0,27,47,11
2020-01-06,0,0,0,0,0,0,0,0,0,0,15,0,0,0,37,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,5,0,4,22,0,0,3,0,0,1,17,0,0,0,0,0,0,9,0,20,0,0,0,46,0,0,0,34,36,10
2020-01-07,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,23,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,4,0,5,28,0,0,5,1,0,1,24,0,0,0,0,0,0,17,0,12,0,0,0,46,0,0,1,31,39,14
2020-01-08,0,0,0,0,0,0,0,0,0,0,18,0,0,0,36,0,0,0,0,22,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,5,0,3,25,0,0,3,0,0,1,13,0,0,0,0,0,0,16,0,21,0,0,0,45,0,0,0,41,36,9
2020-01-09,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,5,0,3,34,0,0,2,1,1,0,8,0,0,0,0,0,0,21,0,17,0,0,0,45,47,0,0,42,41,8
2020-01-10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,22,0,1,6,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,4,0,3,20,0,0,3,1,0,1,21,0,0,0,0,0,0,16,0,14,0,0,0,44,0,0,1,12,40,9
2020-01-11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,40,0,0,0,0,25,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,5,0,3,17,0,0,2,2,0,0,20,0,0,0,0,0,0,7,0,8,0,0,0,100,0,0,0,26,74,15
2020-01-12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,5,0,3,14,0,0,3,1,0,1,18,0,0,0,0,0,0,20,0,17,0,0,0,50,0,0,0,26,53,12
2020-01-13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,32,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,4,29,0,0,4,0,0,1,21,3,0,0,0,0,0,18,0,15,0,0,0,54,0,0,1,37,38,27
2020-01-14,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,28,0,0,8,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,4,0,3,27,0,0,3,1,1,1,26,0,0,0,0,0,0,16,0,14,0,0,0,58,0,0,0,42,35,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,34,0,0,0,0,21,0,1,15,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,4,0,5,24,0,0,2,1,0,1,24,0,0,0,0,0,0,14,0,15,0,0,0,43,0,0,1,46,63,8
