date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,31,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,4,0,2,17,0,0,1,0,0,0,28,1,0,0,0,0,0,8,0,14,0,0,0,33,0,0,0,21,34,74
2020-01-02,0,0,0,0,0,0,0,0,0,0,15,0,0,0,9,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,4,0,3,28,0,0,2,0,0,0,26,0,0,0,0,0,0,10,0,11,0,0,0,36,0,0,0,34,32,50
2020-01-03,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,0,0,0,0,27,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,4,0,4,27,0,0,2,0,0,1,22,0,0,0,0,0,0,11,0,14,0,0,0,21,0,0,0,32,36,23
2020-01-04,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,27,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,5,0,3,27,0,0,2,0,0,1,26,0,0,0,0,0,0,13,0,16,0,0,0,77,0,0,0,25,70,19
2020-01-05,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,5,0,3,23,0,0,2,0,0,1,29,0,0,0,0,0,0,10,0,16,0,0,0,30,0,0,0,25,55,11
2020-01-06,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,23,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,4,0,4,35,0,0,2,0,0,0,19,1,0,0,0,0,0,11,0,16,0,0,0,41,0,0,0,35,34,10
2020-01-07,0,0,0,0,0,0,0,0,0,0,18,0,0,0,20,0,0,0,0,19,0,0,9,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,4,0,4,38,0,0,2,0,0,0,18,0,0,0,0,0,0,12,0,15,0,0,0,68,0,0,1,36,35,11
2020-01-08,0,0,0,0,0,0,0,0,0,0,17,0,0,0,14,0,0,0,0,19,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,4,0,4,34,0,0,2,0,0,1,19,0,0,0,0,0,0,14,0,15,0,0,0,54,0,0,0,33,46,8
2020-01-09,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,20,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,4,0,4,32,0,0,3,0,0,0,18,0,0,0,0,0,0,16,0,17,0,0,0,61,14,0,1,33,45,7
2020-01-10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,4,0,4,23,0,0,2,0,0,0,19,0,0,0,0,0,0,11,0,15,0,0,0,40,0,0,1,32,43,8
