date,covid treatment,treatment for covid,treat covid,covid in old,covid fever,covid vaccine,covid in adults,covid testing,what to do if you have covid,coronavirus,ICU,covid death rate,stimulus package,how long does covid last,thermoscan,covid incubation period,covid,covid symptoms,how long is covid contagious,fever and cough,covid pneumonia,quarantine,unemployment rate,covid recovery time,covid cdc,cdc suggestion,covid side effects,how contagious is covid,signs of covid,covid cases,vaccine,how to get rid of covid,covid in children,how to treat covid,covid infection rate,reopen,covid report,do I have covid,mask,social distancing,zoom,work from home,how bad is covid in,Anthony Fauci,ventilator,travel ban,black lives matter,protests,loot,Tik Tok ban,symptons of covid,covid duration,covid contagious,covid or cold,covid medicine,normal body,is covid contagious,body temperature,testing covid,covid vs cold,get over covid,dangerous fever,second outbreak,covid outbreak,lockdown,online classes,college basketball,college football
2020-01-01,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,56,0,0,14,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,4,0,3,12,0,0,0,0,1,1,40,0,0,0,0,0,0,30,0,24,0,0,0,0,0,0,0,20,22,71
2020-01-02,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,5,0,4,19,0,0,6,0,0,0,46,0,0,0,0,0,0,18,0,22,0,0,0,0,0,0,1,36,35,48
2020-01-03,0,0,0,0,0,0,0,0,0,0,15,0,0,0,58,0,0,0,0,50,0,2,12,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,5,0,4,22,0,0,0,3,1,0,45,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,53,51,22
2020-01-04,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,5,0,3,0,0,0,6,0,0,1,49,0,0,0,0,0,0,38,0,18,0,0,0,0,0,0,0,28,40,14
2020-01-05,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,5,0,3,23,0,0,0,0,0,1,54,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,18,44,8
2020-01-06,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,47,0,1,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,3,24,0,0,0,0,1,1,28,0,0,0,0,0,0,27,0,10,0,0,0,52,0,0,1,33,32,12
2020-01-07,0,0,0,0,0,0,0,0,0,0,21,0,0,0,55,0,0,0,0,48,0,1,12,0,0,0,0,0,0,0,20,0,0,0,0,7,0,0,5,0,6,11,0,0,0,1,0,0,24,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,45,41,16
2020-01-08,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,3,0,4,38,0,0,5,0,1,1,43,0,0,0,0,0,0,17,0,41,0,0,0,0,0,0,0,25,40,6
2020-01-09,0,0,0,0,0,0,0,0,0,0,18,0,0,0,55,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,6,14,0,0,5,1,0,1,24,0,0,0,0,0,0,25,0,21,0,0,0,0,0,0,1,42,32,11
2020-01-10,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,47,0,0,17,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,5,0,4,7,0,0,0,0,1,1,19,0,0,0,0,0,0,25,0,21,0,0,0,0,0,0,0,28,49,9
2020-01-11,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,2,23,0,0,6,2,0,1,32,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,19,60,18
2020-01-12,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,5,0,3,22,0,0,0,0,1,1,46,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,1,24,40,11
2020-01-13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,41,0,1,10,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,4,0,5,30,0,0,0,0,1,1,19,0,0,0,0,0,0,29,0,15,0,0,0,0,0,0,1,29,26,32
2020-01-14,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,40,0,2,29,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,4,0,5,30,0,0,0,0,1,0,24,0,0,0,0,0,0,14,0,31,0,0,0,0,0,0,0,19,25,100
2020-01-15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,5,0,6,13,0,0,0,1,0,1,22,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,1,23,25,8
2020-01-16,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,3,0,4,14,0,0,0,0,1,0,19,0,0,0,0,0,0,25,0,10,0,0,0,0,0,0,1,39,38,2
