location,target,type,quantile,forecast_date,target_end_date,value
US,1 day ahead inc death,point,NA,2020-07-09,2020-07-10,1089.107694220504
US,1 day ahead inc death,point,NA,2020-07-10,2020-07-11,1137.6411678343607
US,1 day ahead inc death,point,NA,2020-07-11,2020-07-12,988.9207515891208
US,1 day ahead inc death,point,NA,2020-07-12,2020-07-13,1302.7789006437924
US,1 day ahead inc death,point,NA,2020-07-13,2020-07-14,1514.5668940026026
US,1 day ahead inc death,point,NA,2020-07-14,2020-07-15,1464.2663173512055
US,1 day ahead inc death,point,NA,2020-07-15,2020-07-16,1225.6062606799119
US,1 day ahead inc death,point,NA,2020-07-16,2020-07-17,1048.7248732662333
US,1 day ahead inc death,point,NA,2020-07-17,2020-07-18,820.9884361725881
US,1 day ahead inc death,point,NA,2020-07-18,2020-07-19,567.740848380758
US,1 day ahead inc death,point,NA,2020-07-19,2020-07-20,623.4157183487278
US,1 day ahead inc death,point,NA,2020-07-20,2020-07-21,1074.4364689358267
US,1 day ahead inc death,point,NA,2020-07-21,2020-07-22,1033.0804263219566
US,1 day ahead inc death,point,NA,2020-07-22,2020-07-23,1084.6511221743954
US,1 day ahead inc death,point,NA,2020-07-23,2020-07-24,1121.8758350497797
US,1 day ahead inc death,point,NA,2020-07-24,2020-07-25,858.5784008194969
US,1 day ahead inc death,point,NA,2020-07-25,2020-07-26,606.4289265680529
US,1 day ahead inc death,point,NA,2020-07-26,2020-07-27,661.503717869723
US,1 day ahead inc death,point,NA,2020-07-27,2020-07-28,974.7757118917025
US,1 day ahead inc death,point,NA,2020-07-28,2020-07-29,877.6049697592016
US,1 day ahead inc death,point,NA,2020-07-29,2020-07-30,945.231512929452
US,1 day ahead inc death,point,NA,2020-07-30,2020-07-31,853.923063348338
US,1 day ahead inc death,point,NA,2020-07-31,2020-08-01,743.6490442902482
US,1 day ahead inc death,point,NA,2020-08-01,2020-08-02,271.3247834582271
US,1 day ahead inc death,point,NA,2020-08-02,2020-08-03,536.7689822625116
US,1 day ahead inc death,point,NA,2020-08-03,2020-08-04,1305.0037232789382
US,1 day ahead inc death,point,NA,2020-08-04,2020-08-05,1720.9756218346815
US,1 day ahead inc death,point,NA,2020-08-05,2020-08-06,1718.5140351714922
US,1 day ahead inc death,point,NA,2020-08-06,2020-08-07,1524.3329296757902
US,1 day ahead inc death,point,NA,2020-08-07,2020-08-08,1072.881919929735
US,1 day ahead inc death,point,NA,2020-08-08,2020-08-09,634.2983897472539
US,1 day ahead inc death,point,NA,2020-08-09,2020-08-10,940.784569020484
US,1 day ahead inc death,point,NA,2020-08-10,2020-08-11,1544.8804775270805
US,1 day ahead inc case,point,NA,2020-07-09,2020-07-10,60797.64852807999
US,1 day ahead inc case,point,NA,2020-07-10,2020-07-11,59237.876363572905
US,1 day ahead inc case,point,NA,2020-07-11,2020-07-12,56542.89037800601
US,1 day ahead inc case,point,NA,2020-07-12,2020-07-13,61741.73891075975
US,1 day ahead inc case,point,NA,2020-07-13,2020-07-14,57635.5303566866
US,1 day ahead inc case,point,NA,2020-07-14,2020-07-15,59336.96677551827
US,1 day ahead inc case,point,NA,2020-07-15,2020-07-16,59501.04202453464
US,1 day ahead inc case,point,NA,2020-07-16,2020-07-17,60562.83079476817
US,1 day ahead inc case,point,NA,2020-07-17,2020-07-18,57484.99579056516
US,1 day ahead inc case,point,NA,2020-07-18,2020-07-19,51012.368199115306
US,1 day ahead inc case,point,NA,2020-07-19,2020-07-20,52067.43060971662
US,1 day ahead inc case,point,NA,2020-07-20,2020-07-21,52748.209006818804
US,1 day ahead inc case,point,NA,2020-07-21,2020-07-22,50142.11557528297
US,1 day ahead inc case,point,NA,2020-07-22,2020-07-23,53319.313922482885
US,1 day ahead inc case,point,NA,2020-07-23,2020-07-24,53190.91921714697
US,1 day ahead inc case,point,NA,2020-07-24,2020-07-25,49093.45961731731
US,1 day ahead inc case,point,NA,2020-07-25,2020-07-26,47015.531567900754
US,1 day ahead inc case,point,NA,2020-07-26,2020-07-27,42742.590647230136
US,1 day ahead inc case,point,NA,2020-07-27,2020-07-28,44842.882951249114
US,1 day ahead inc case,point,NA,2020-07-28,2020-07-29,44671.33272805294
US,1 day ahead inc case,point,NA,2020-07-29,2020-07-30,52831.53828043221
US,1 day ahead inc case,point,NA,2020-07-30,2020-07-31,50258.39475448202
US,1 day ahead inc case,point,NA,2020-07-31,2020-08-01,45583.654279053626
US,1 day ahead inc case,point,NA,2020-08-01,2020-08-02,46937.20965515829
US,1 day ahead inc case,point,NA,2020-08-02,2020-08-03,46264.51687583363
US,1 day ahead inc case,point,NA,2020-08-03,2020-08-04,47548.16089535255
US,1 day ahead inc case,point,NA,2020-08-04,2020-08-05,49437.3411044364
US,1 day ahead inc case,point,NA,2020-08-05,2020-08-06,50059.751748034534
US,1 day ahead inc case,point,NA,2020-08-06,2020-08-07,51851.245938362765
US,1 day ahead inc case,point,NA,2020-08-07,2020-08-08,44876.58853250578
US,1 day ahead inc case,point,NA,2020-08-08,2020-08-09,42029.7158381978
US,1 day ahead inc case,point,NA,2020-08-09,2020-08-10,40284.355746138135
US,1 day ahead inc case,point,NA,2020-08-10,2020-08-11,41933.08823333737
36,1 day ahead inc death,point,NA,2020-07-09,2020-07-10,2.87706588066186
36,1 day ahead inc death,point,NA,2020-07-10,2020-07-11,283.3382150284599
36,1 day ahead inc death,point,NA,2020-07-11,2020-07-12,116.46940951363902
36,1 day ahead inc death,point,NA,2020-07-12,2020-07-13,179.05024984025314
36,1 day ahead inc death,point,NA,2020-07-13,2020-07-14,292.8576587063267
36,1 day ahead inc death,point,NA,2020-07-14,2020-07-15,256.41001454283656
36,1 day ahead inc death,point,NA,2020-07-15,2020-07-16,79.37572766980045
36,1 day ahead inc death,point,NA,2020-07-16,2020-07-17,183.77441142421776
36,1 day ahead inc death,point,NA,2020-07-17,2020-07-18,272.24173499019923
36,1 day ahead inc death,point,NA,2020-07-18,2020-07-19,181.41213977480038
36,1 day ahead inc death,point,NA,2020-07-19,2020-07-20,46.7098585769772
36,1 day ahead inc death,point,NA,2020-07-20,2020-07-21,13.161532373268585
36,1 day ahead inc death,point,NA,2020-07-21,2020-07-22,0.0
36,1 day ahead inc death,point,NA,2020-07-22,2020-07-23,10.709639902475232
36,1 day ahead inc death,point,NA,2020-07-23,2020-07-24,82.57242509655345
36,1 day ahead inc death,point,NA,2020-07-24,2020-07-25,20.756431172770206
36,1 day ahead inc death,point,NA,2020-07-25,2020-07-26,0.2313742283852207
36,1 day ahead inc death,point,NA,2020-07-26,2020-07-27,179.34295432242132
36,1 day ahead inc death,point,NA,2020-07-27,2020-07-28,0.0
