state,model,MSE,MAE,MAPE
US,CU-nochange,34859373922.187965,43299.191666666666,47.12121421781259
Alaska,CU-nochange,68634.86203703703,46.03055555555555,455.37396254798216
Alabama,CU-nochange,4919860.925000001,559.2453703703703,96.9781237490992
Arkansas,CU-nochange,402167.9268518518,210.28611111111113,129.1347147673928
Arizona,CU-nochange,39192685.31481481,1530.235185185185,196.04605286832253
California,CU-nochange,671656773.7962962,5406.537037037036,158.24563396930714
Colorado,CU-nochange,19453967.63425926,854.7620370370372,74.60386783439714
Connecticut,CU-nochange,18210846.910185184,1173.541666666667,35.782084076816915
Delaware,CU-nochange,641463.9370370372,276.9685185185185,90.13030105689234
Florida,CU-nochange,299346757.6685185,4320.535185185185,191.83616727484926
Georgia,CU-nochange,26330055.237962965,1065.1453703703703,60.159886531139314
Hawaii,CU-nochange,505704.0907407408,115.4648148148148,672.4082104351713
Iowa,CU-nochange,856527.4768518518,302.537962962963,67.96147341203306
Idaho,CU-nochange,22263.102777777778,38.86388888888889,46.766100975877436
Illinois,CU-nochange,92262270.22685188,2344.7212962962967,57.45402146304961
Indiana,CU-nochange,9013201.635185186,614.8685185185186,34.94463076620337
Kansas,CU-nochange,1172443.8935185184,206.43796296296296,101.97152425374165
Kentucky,CU-nochange,1252033.1648148152,225.1425925925926,60.199517708851886
Louisiana,CU-nochange,8752510.828703701,631.8694444444446,24.77788584857459
Massachusetts,CU-nochange,52564659.52777777,2260.2314814814813,39.78941453081664
Maryland,CU-nochange,16640530.647222228,1036.8453703703703,49.05976358337716
Maine,CU-nochange,540911.5250000001,131.42499999999995,181.65924216205715
Michigan,CU-nochange,68132985.02499999,1842.176851851852,37.144286111617355
Minnesota,CU-nochange,3111025.693518518,443.1787037037037,54.1174585607214
Missouri,CU-nochange,10417126.063888885,658.3675925925926,93.9443215844082
Mississippi,CU-nochange,540665.5601851852,228.47314814814814,36.548001517086966
Montana,CU-nochange,138001.4092592593,68.98703703703706,418.60791774267335
North Carolina,CU-nochange,20274696.226851854,1266.3379629629628,154.31977107019054
North Dakota,CU-nochange,534.0472222222222,13.610185185185188,27.02671089961873
Nebraska,CU-nochange,38290.19999999999,83.5851851851852,50.681292502427546
New Hampshire,CU-nochange,1200801.090740741,210.77777777777777,123.05020921411167
New Jersey,CU-nochange,85461289.80648151,3339.3101851851848,30.995851741660417
New Mexico,CU-nochange,264300.8074074075,119.36111111111111,41.98628084464651
Nevada,CU-nochange,900287.6203703705,241.4351851851851,59.411014117093224
New York,CU-nochange,308241544.2861111,5357.575000000001,18.8593898083742
Ohio,CU-nochange,11120311.470370367,812.5925925925926,43.319887593592284
Oklahoma,CU-nochange,2116592.07037037,306.5962962962963,98.53454708393149
Oregon,CU-nochange,5495200.819444444,426.17870370370366,301.67745882604095
Pennsylvania,CU-nochange,58058086.997222215,1875.1583333333333,42.173020127519095
Rhode Island,CU-nochange,986088.2101851853,339.3638888888889,61.29537866534057
South Carolina,CU-nochange,5249058.99537037,633.8027777777777,126.65919525477365
South Dakota,CU-nochange,94416.39907407408,109.77685185185186,234.9667513699408
Tennessee,CU-nochange,9851796.851851853,731.6537037037036,228.31134653750482
Texas,CU-nochange,134066162.08148149,2593.796296296296,170.03021705154887
Utah,CU-nochange,1740008.8462962965,344.87777777777774,366.99064931059166
Virginia,CU-nochange,8172810.24722222,690.5694444444443,60.12737487906166
Vermont,CU-nochange,299003.825925926,98.1537037037037,185.3301125633207
Washington,CU-nochange,26988002.915740743,995.9805555555556,98.94766777304523
Wisconsin,CU-nochange,8005466.434259261,662.8231481481482,134.94871203180796
West Virginia,CU-nochange,13000.54259259259,31.84814814814814,45.194838655719884
Wyoming,CU-nochange,13070.49907407407,21.115740740740737,214.58149185600163
US,RobertWalraven-ESG,189691179.49416664,11948.749999999998,8.36820124071378
Alaska,RobertWalraven-ESG,6.3583240265624985,2.136449583333333,10.983243477668847
Alabama,RobertWalraven-ESG,19878363.12721638,2439.2724583333334,168.44492767260488
Arkansas,RobertWalraven-ESG,178.3126783588889,11.51732222222222,2.9921734392119776
Arizona,RobertWalraven-ESG,345928.53405791643,481.68383333333315,15.94437414499838
California,RobertWalraven-ESG,14861811.491065769,2353.6194083333335,28.211601060099415
Colorado,RobertWalraven-ESG,438465.47249609,344.06985,19.191756505703943
Connecticut,RobertWalraven-ESG,24612.74252849995,119.57633333333338,2.712927192806312
Delaware,RobertWalraven-ESG,14401.616760769166,77.39235833333333,13.399152992679845
Florida,RobertWalraven-ESG,120099810.77712862,6106.476875,106.4837159772562
Georgia,RobertWalraven-ESG,100492.355540625,284.1325416666667,8.324309751191246
Hawaii,RobertWalraven-ESG,196.91666666666666,10.75,41.92040598290598
Iowa,RobertWalraven-ESG,11012.85688257833,78.39713333333333,9.560192739241906
Idaho,RobertWalraven-ESG,1226.1981279574584,32.133078333333344,23.47844402315721
Illinois,RobertWalraven-ESG,252666.75461566536,362.5399999999993,4.794356225142676
Indiana,RobertWalraven-ESG,301424.9815000834,419.7115833333334,14.596107112192618
Kansas,RobertWalraven-ESG,1305.8006733770837,28.161145833333336,8.643369734612367
Kentucky,RobertWalraven-ESG,76145.03925993499,167.11752499999997,24.118438966141255
Louisiana,RobertWalraven-ESG,1048283.5841475424,662.4877916666666,17.944066269291405
Massachusetts,RobertWalraven-ESG,455.41119083334536,17.3588333333336,0.2045245316406461
Maryland,RobertWalraven-ESG,563548.5104091249,432.9941249999997,12.63800172184998
Maine,RobertWalraven-ESG,1083.1246797833332,17.696166666666663,14.88250115591108
Michigan,RobertWalraven-ESG,244726.0969586668,415.5177500000002,6.50548839612016
Minnesota,RobertWalraven-ESG,172.8387957222208,10.182611111111088,0.639383291522252
Missouri,RobertWalraven-ESG,20564.41194536916,106.63002499999995,8.983663366735444
Mississippi,RobertWalraven-ESG,923966.2631549168,607.144,41.49909471054499
Montana,RobertWalraven-ESG,551.6624236824166,14.384775,31.789572776111942
North Carolina,RobertWalraven-ESG,721520.7408207917,491.941125,27.31667483012953
North Dakota,RobertWalraven-ESG,108.5055604767625,8.819658750000002,9.136160793277604
Nebraska,RobertWalraven-ESG,96870.02458507876,170.77105416666666,54.19884018108144
New Hampshire,RobertWalraven-ESG,42019.87064451625,113.14955416666666,27.70934112158669
New Jersey,RobertWalraven-ESG,64622143.43623083,6065.4402666666665,38.49291285356567
New Mexico,RobertWalraven-ESG,13840.247273182917,73.09558749999998,12.103630303452839
Nevada,RobertWalraven-ESG,122236.21178677629,255.02245416666665,35.52720609285026
New York,RobertWalraven-ESG,45105795.86337915,6630.534583333332,20.37886906011368
Ohio,RobertWalraven-ESG,646849.3316894165,436.43775,13.256447901134834
Oklahoma,RobertWalraven-ESG,8857.229747981692,70.4992333333334,14.420977788597307
Oregon,RobertWalraven-ESG,14577.537172936058,80.72754916666666,28.673861897795387
Pennsylvania,RobertWalraven-ESG,108829.93697862493,211.16879166666655,2.9691730189947565
Puerto Rico,RobertWalraven-ESG,733.9979100033338,24.71044444444445,12.865480791635656
Rhode Island,RobertWalraven-ESG,129735.09779822241,201.12233333333322,20.08500192863362
South Carolina,RobertWalraven-ESG,178099.88518137287,380.1228958333333,27.522919430638943
South Dakota,RobertWalraven-ESG,2497.7743820658084,29.929003333333334,24.666997738295276
Tennessee,RobertWalraven-ESG,551836.4036142167,495.50806666666654,52.336976662143485
Texas,RobertWalraven-ESG,117875517.09080137,6028.075875,122.2351042294046
Utah,RobertWalraven-ESG,85931.05104526375,164.24385416666667,60.3099348091888
Virginia,RobertWalraven-ESG,2596.6788617916663,39.46012500000002,1.9212259901538435
Vermont,RobertWalraven-ESG,10.08576889833333,2.9302908333333324,5.2326622023809515
Washington,RobertWalraven-ESG,369611.1209683642,327.77369999999996,21.97158429503927
Wisconsin,RobertWalraven-ESG,127869.8295565125,192.23874999999998,21.63637753490993
West Virginia,RobertWalraven-ESG,323.52231146376243,11.17778375,10.883883915183386
Wyoming,RobertWalraven-ESG,139.20659157925002,8.196977500000001,33.03347511904762
US,Covid19Sim-Simulator,75442479.83239003,6577.082811081308,4.851518037556912
Alaska,Covid19Sim-Simulator,7.224936939675086,1.9851803010471702,11.442083559521663
Alabama,Covid19Sim-Simulator,30643.512543356912,134.7283500468578,11.225660164655284
Arkansas,Covid19Sim-Simulator,2430.6831087831806,35.45727180130531,11.774229120452361
Arizona,Covid19Sim-Simulator,338963.2488355847,385.05040248654245,16.237612675495573
California,Covid19Sim-Simulator,726801.0829374188,597.0727156482167,8.420834095866832
Colorado,Covid19Sim-Simulator,4532.044271311824,56.37444860820209,3.3062835515596807
Connecticut,Covid19Sim-Simulator,6407.192604957395,55.87259918644869,1.2867066771476454
Delaware,Covid19Sim-Simulator,3499.651616646539,47.48087898095467,9.101576804763457
Florida,Covid19Sim-Simulator,860299.714039137,667.7669965236413,14.607204568630692
Georgia,Covid19Sim-Simulator,131344.3505743571,261.71400886601305,8.699895715451332
Hawaii,Covid19Sim-Simulator,10.404987163268535,2.3997575176241006,9.937788910586782
Iowa,Covid19Sim-Simulator,8483.127688654135,74.0607324267611,10.013595803679912
Idaho,Covid19Sim-Simulator,193.31769681108327,10.319784798143663,8.0375059164634
Illinois,Covid19Sim-Simulator,166039.6700808505,347.0587498523312,4.821608566129342
Indiana,Covid19Sim-Simulator,22953.529286725752,106.00510712160215,3.913999868977883
Kansas,Covid19Sim-Simulator,323.9333385098404,14.40915113145416,4.623864043252042
Kentucky,Covid19Sim-Simulator,5139.155159561669,55.44856845929357,8.866041945926419
Louisiana,Covid19Sim-Simulator,43465.88760779946,160.4762390990934,4.618086101262483
Massachusetts,Covid19Sim-Simulator,123378.8310900428,285.41795876307395,3.474402032605219
Maryland,Covid19Sim-Simulator,7015.110368820314,65.2507753496105,2.0419207319419956
Maine,Covid19Sim-Simulator,33.38320121565313,4.7388522219770675,4.314126846027325
Michigan,Covid19Sim-Simulator,58116.47289403956,171.2866217666639,2.754754245079803
Minnesota,Covid19Sim-Simulator,13433.817518131096,94.66083544366576,6.129320744678536
Missouri,Covid19Sim-Simulator,17970.799581348434,82.9903486804713,7.83072630269834
Mississippi,Covid19Sim-Simulator,24243.57384811339,96.75805262881136,7.9245448559452045
Montana,Covid19Sim-Simulator,150.21194092674344,10.079457570377501,27.15670510004598
North Carolina,Covid19Sim-Simulator,26113.67865730223,128.17709756567956,8.618271716117425
North Dakota,Covid19Sim-Simulator,40.659932170717376,5.3385386042243095,6.068085204200571
Nebraska,Covid19Sim-Simulator,100.79718075633284,7.339216045960217,2.58291192340049
New Hampshire,Covid19Sim-Simulator,4763.550208356104,46.119911861132515,12.47145147268899
New Jersey,Covid19Sim-Simulator,4143330.4513262934,1706.661997088136,11.112678050362721
New Mexico,Covid19Sim-Simulator,5631.809532600488,53.85204464893317,10.26281908754556
Nevada,Covid19Sim-Simulator,5862.714402942225,53.470070380858765,8.52764914339306
New York,Covid19Sim-Simulator,492548.44520551525,632.0385278559982,1.9608708657032403
Ohio,Covid19Sim-Simulator,43234.39471957319,141.80420517580106,4.7509098752992145
Oklahoma,Covid19Sim-Simulator,1135.1342391295711,23.11059631130431,5.1839583081673
Oregon,Covid19Sim-Simulator,1509.4415790978126,29.96522120507057,12.23451644062778
Pennsylvania,Covid19Sim-Simulator,190470.463833606,321.0300436486239,4.749379725743584
Puerto Rico,Covid19Sim-Simulator,190.3237131844774,11.139665956536383,6.534455910659158
Rhode Island,Covid19Sim-Simulator,12591.677126435581,68.87405130938492,7.375977041294969
South Carolina,Covid19Sim-Simulator,69315.98012448443,184.51344920702167,16.73329821813521
South Dakota,Covid19Sim-Simulator,159.1882517836187,11.77949331005405,10.64591514174271
Tennessee,Covid19Sim-Simulator,15406.785110198169,93.15103387279295,11.912849056601484
Texas,Covid19Sim-Simulator,672661.1455880468,593.1087774770402,14.447217785551864
Utah,Covid19Sim-Simulator,2162.7585596056997,37.63758186195954,15.704273128261296
Virginia,Covid19Sim-Simulator,11249.169938913341,89.80458632389929,4.750489829494881
Vermont,Covid19Sim-Simulator,5.465022005984219,1.8785572288048062,3.3559843192837118
Washington,Covid19Sim-Simulator,7296.262891758169,62.2008991368335,4.477874161112213
Wisconsin,Covid19Sim-Simulator,1963.3478330081698,34.50988718758837,4.353629905035637
West Virginia,Covid19Sim-Simulator,31.586849431868206,4.643945453882852,4.807910942506216
Wyoming,Covid19Sim-Simulator,6.334648380272628,2.133552000615875,9.547745318232655
