state,model,MSE,MAE,MAPE
US,RobertWalraven-ESG,25675251580.718014,80955.50312509087,56.06275599470113
Alaska,RobertWalraven-ESG,4832.69836522666,28.090179061060027,144.0176603045632
Alabama,RobertWalraven-ESG,18726297.945767466,2331.78096001951,163.3432021644413
Arkansas,RobertWalraven-ESG,1802567.2202335827,665.0807906602757,178.05885066192457
Arizona,RobertWalraven-ESG,232471140.10242572,6576.051814352729,216.62231228432424
California,RobertWalraven-ESG,1400522749.7153823,18817.34729565366,231.50894793773583
Colorado,RobertWalraven-ESG,907419.1152186078,512.5088095203822,28.6968403393538
Connecticut,RobertWalraven-ESG,98229.1475854764,206.23801243720376,4.681333911802817
Delaware,RobertWalraven-ESG,59741.77703135452,144.43533349277843,25.5399059238643
Florida,RobertWalraven-ESG,524240242.5235141,12130.784382624275,220.84801951879544
Georgia,RobertWalraven-ESG,86527552.2035877,4516.252615421857,133.3545422227431
Hawaii,RobertWalraven-ESG,814.9985715178278,17.316866748220683,69.45230505974762
Iowa,RobertWalraven-ESG,1360324.840212863,617.9926901652791,76.06554772692519
Idaho,RobertWalraven-ESG,1362444.4944298358,545.2814711420783,396.15766242713124
Illinois,RobertWalraven-ESG,8550329.484902382,1630.0877306179561,21.584078269386026
Indiana,RobertWalraven-ESG,1469707.6623809177,747.7041298222892,26.046990813446204
Kansas,RobertWalraven-ESG,768832.2184165521,446.50987754956367,138.9364500383522
Kentucky,RobertWalraven-ESG,2201828.5056672166,593.7458629172294,85.86443775788246
Louisiana,RobertWalraven-ESG,13628430.102275355,1971.322536215961,53.908182695304674
Massachusetts,RobertWalraven-ESG,201388.68789263404,264.002426424268,3.114390236949781
Maryland,RobertWalraven-ESG,2027037.6852166199,835.0857266358138,24.488412870615758
Maine,RobertWalraven-ESG,7284.516687109502,47.87934849811895,40.504506606667384
Michigan,RobertWalraven-ESG,1178761.441726105,632.389696332306,9.898491882806114
Minnesota,RobertWalraven-ESG,193921.40149324652,244.59670831343172,15.420972928178875
Missouri,RobertWalraven-ESG,2120500.4927479797,711.6039263258255,60.26134546930282
Mississippi,RobertWalraven-ESG,4268180.498332024,1000.7416518663867,68.92381071214298
Montana,RobertWalraven-ESG,41438.67387407873,90.06123120992879,205.76099251806227
North Carolina,RobertWalraven-ESG,26358621.57696179,2724.3727325848563,154.49010062252967
North Dakota,RobertWalraven-ESG,14110.754245719858,54.08428045168389,55.81860712831244
Nebraska,RobertWalraven-ESG,177443.87456083056,254.88666746902433,81.82296305627221
New Hampshire,RobertWalraven-ESG,17761.45541584108,70.72581127570913,17.422304305533334
New Jersey,RobertWalraven-ESG,22965309.01657204,2752.8323946766122,17.47437986928267
New Mexico,RobertWalraven-ESG,504662.53444969625,382.7092422436585,64.27738534097388
Nevada,RobertWalraven-ESG,6851083.66228177,1085.4482671061073,151.8793979453766
New York,RobertWalraven-ESG,17689497.19194768,2975.142054642563,9.141333265861752
Ohio,RobertWalraven-ESG,10531246.012191737,1686.8249727477014,51.88441985988781
Oklahoma,RobertWalraven-ESG,3023059.4766176897,875.1804692559377,181.43128944352145
Oregon,RobertWalraven-ESG,778496.31630204,473.176704124702,171.69832576204354
Pennsylvania,RobertWalraven-ESG,4150705.808143715,1076.3729564794842,15.186586688456439
Puerto Rico,RobertWalraven-ESG,42888.63909031829,110.6571454277963,59.49422604997504
Rhode Island,RobertWalraven-ESG,94076.06119938409,186.32752980210705,18.639010177581124
South Carolina,RobertWalraven-ESG,16726677.659197574,2134.997967719548,157.7734758232473
South Dakota,RobertWalraven-ESG,23640.841818581455,88.95494665040151,74.20352069989154
Tennessee,RobertWalraven-ESG,21531216.471147355,2002.7746157161348,212.46256062791292
Texas,RobertWalraven-ESG,698555049.5834782,12755.723687956606,268.50091446804663
Utah,RobertWalraven-ESG,3066943.8443305218,910.84077002225,343.7570671829796
Virginia,RobertWalraven-ESG,2762857.684234216,804.6641610809205,39.06185761911874
Vermont,RobertWalraven-ESG,172.40819450956357,7.832542201380046,13.986682502464367
Washington,RobertWalraven-ESG,3550916.0706917797,1013.4957524538798,68.50071239223233
Wisconsin,RobertWalraven-ESG,5323666.764697507,1172.976637364409,133.95216520866734
West Virginia,RobertWalraven-ESG,33620.78819900394,80.95363376604638,79.21029646705058
Wyoming,RobertWalraven-ESG,6666.994159327979,45.441327388837095,184.9696968441159
US,Covid19Sim-Simulator,28378805405.543354,67120.57367896497,46.86521011395757
Alaska,Covid19Sim-Simulator,13480.45277740865,41.891179185219144,217.34034888199608
Alabama,Covid19Sim-Simulator,11726776.0605111,1341.6840707239185,98.33410966272513
Arkansas,Covid19Sim-Simulator,2398292.4602113166,613.9974753020144,164.58386921291626
Arizona,Covid19Sim-Simulator,195283490.67435166,5523.027880073851,190.3202343072734
California,Covid19Sim-Simulator,626233492.1455485,9727.575184325115,120.7366734544041
Colorado,Covid19Sim-Simulator,545403.2903243048,300.2656261654386,16.973254956825013
Connecticut,Covid19Sim-Simulator,17149.246630540987,84.34874473128674,1.9356561218195583
Delaware,Covid19Sim-Simulator,90185.91893820577,133.44921406293557,24.11647015711356
