state,model,MSE,MAE,MAPE
US,ARIMA,23834177.292641792,4060.5226501521283,7.827784999200932
Alaska,ARIMA,688.8402138850352,19.6992170701189,45.743750748898314
Alabama,ARIMA,178592.23007342377,335.14986999934166,29.08971706748176
Arkansas,ARIMA,35577.37326800172,141.31031802226647,inf
Arizona,ARIMA,910372.307516845,739.0118703483356,43.923782127223696
Colorado,ARIMA,13234.809838763711,81.03858469013488,21.297299363611955
Connecticut,ARIMA,13385.929331865998,78.5067574540671,inf
District of Columbia,ARIMA,283.27449772466576,13.668254224813367,28.303960752794723
Delaware,ARIMA,4494.231278464424,43.35772131708718,inf
Florida,ARIMA,4006591.8136441004,1596.067971821588,21.63355084123473
Georgia,ARIMA,433017.4819744094,546.5311683273562,20.489224510334797
Guam,ARIMA,149.7712577259263,7.111991614441485,inf
Hawaii,ARIMA,1949.4874390978237,27.422525239395526,inf
Iowa,ARIMA,30512.036086806747,137.39240149159266,35.4389509838035
Idaho,ARIMA,25473.624683468748,120.78025624234037,inf
Kansas,ARIMA,14925.446816588936,87.08084154579394,inf
Kentucky,ARIMA,44987.53714168351,155.06454400918525,inf
Louisiana,ARIMA,772980.7799944174,645.6448707519769,inf
Massachusetts,ARIMA,8291.724954788417,71.49016248419252,26.40944747407097
Maryland,ARIMA,23235.897797725873,122.57218127866815,20.233873847013125
Maine,ARIMA,90.42518381260801,7.579851301620739,inf
Michigan,ARIMA,36118.039985897354,142.69735752512736,25.59429151025914
Minnesota,ARIMA,25449.817368587483,120.10758077632715,inf
Missouri,ARIMA,98292.88171832057,248.21348314183408,40.50808422956159
Mississippi,ARIMA,153961.4853256914,302.16496579422136,inf
Montana,ARIMA,1465.551234966436,27.23682370581927,41.11295896102534
North Dakota,ARIMA,1012.1169133723649,22.33953988069826,30.847215777754396
Nebraska,ARIMA,4461.792153290959,54.37822789603634,27.684482581953844
New Hampshire,ARIMA,148.53274170634393,9.632976407041125,59.0354559942072
New Jersey,ARIMA,17616.122471636503,100.91503358474081,inf
New Mexico,ARIMA,2497.9707607571477,39.72743436555548,19.36882984369783
Nevada,ARIMA,50969.32866953613,179.7344190891901,22.55556074945116
Ohio,ARIMA,45963.92241445732,170.46264244346057,16.334582146577677
Oklahoma,ARIMA,65730.11712867598,199.13209206080904,38.15768993351508
Oregon,ARIMA,4937.171106912369,58.176239244875575,21.700021849741916
US,ARGOnet,151232247.00752804,10500.765931122918,16.429372416977532
California,ARGOnet,17327558.456278004,3232.69583710302,34.48728376259735
Massachusetts,ARGOnet,386921.4291024061,527.0496235895095,181.7355804474081
Michigan,ARGOnet,206004.9062610478,373.4379810593617,50.46110078349445
New Jersey,ARGOnet,243850.23195690927,403.2626368613319,
New York,ARGOnet,5579935.824483057,1829.8587457489432,264.85685441029625
Texas,ARGOnet,13628976.27003492,3040.713077504543,34.64493283852458
Washington,ARGOnet,213382.1298731318,369.07683957370335,inf
US,LSTM,213599810.5517302,11655.785704965327,19.09741238102133
US,SIR,1487566441.9948292,34351.37646075332,116.3477294474775
US,SIRD,1038241589.0564251,27530.78473789539,81.73652178682369
US,SIRD-rt-live,286237357408.1991,512718.69371235796,1197.0265429524288
US,RandomForest,140016078.52020338,9299.423269230769,22.7423506071724
