state,model,MSE,MAE,MAPE
US,OliverWyman-Navigator,271392952364.44446,499658.27777777775,879.2913539486308
Alaska,OliverWyman-Navigator,439934.3888888888,601.6111111111111,710.5563939625772
Alabama,OliverWyman-Navigator,211131528.44444445,13665.72222222222,824.0070050042231
Arkansas,OliverWyman-Navigator,25270165.083333332,4993.25,inf
Arizona,OliverWyman-Navigator,496357211.9166667,19524.083333333332,1015.1524042761315
California,OliverWyman-Navigator,5137804674.0,67406.5,1088.8317602731904
Colorado,OliverWyman-Navigator,23246477.444444448,4317.333333333333,1064.805988213935
Connecticut,OliverWyman-Navigator,1031946.2222222224,846.7222222222222,inf
District of Columbia,OliverWyman-Navigator,260042.13888888888,436.02777777777777,784.5038666154645
Delaware,OliverWyman-Navigator,862619.6944444444,866.5277777777777,inf
Florida,OliverWyman-Navigator,7594088043.305554,80724.30555555555,888.9286782822746
Georgia,OliverWyman-Navigator,929983152.75,29183.80555555556,774.7593103275995
Hawaii,OliverWyman-Navigator,317497.97222222225,410.47222222222223,313.10672325511234
Iowa,OliverWyman-Navigator,16826875.194444444,3868.861111111111,739.6807395354623
Idaho,OliverWyman-Navigator,18882470.72222222,3970.111111111111,908.105580586663
Illinois,OliverWyman-Navigator,139197902.6111111,11314.222222222224,659.3593046701926
Indiana,OliverWyman-Navigator,45023228.63888889,6213.694444444444,627.8637060260512
Kansas,OliverWyman-Navigator,15001802.527777776,3530.4166666666665,1010.4895755889165
Kentucky,OliverWyman-Navigator,26571732.444444448,4463.0,672.5802413965403
Louisiana,OliverWyman-Navigator,228287872.2777778,14569.388888888889,inf
Massachusetts,OliverWyman-Navigator,5843490.694444444,2278.1388888888887,557.9752560736887
Maryland,OliverWyman-Navigator,46972565.69444444,6008.083333333333,704.7689633879442
Maine,OliverWyman-Navigator,21337.666666666668,123.27777777777777,720.0814494147826
Michigan,OliverWyman-Navigator,32351605.36111111,5451.583333333333,723.7332902692397
Minnesota,OliverWyman-Navigator,24979032.722222224,4696.166666666667,644.6435989707215
Missouri,OliverWyman-Navigator,116523629.08333333,9564.916666666666,2066.255882969303
Mississippi,OliverWyman-Navigator,96554132.72222222,9099.833333333334,890.4852854556553
Montana,OliverWyman-Navigator,1114011.0,965.0,762.8702034205353
North Carolina,OliverWyman-Navigator,155775653.97222224,12193.083333333334,719.1390914940831
North Dakota,OliverWyman-Navigator,1077243.3055555557,956.1388888888888,717.8422832930468
Nebraska,OliverWyman-Navigator,4360637.222222222,1911.3333333333333,1028.448401342735
New Hampshire,OliverWyman-Navigator,47065.69444444444,183.91666666666666,826.1781781702012
New Jersey,OliverWyman-Navigator,5530960.0,2214.222222222222,689.8787545908123
New Mexico,OliverWyman-Navigator,5130734.972222223,2154.138888888889,1147.4672389761424
Nevada,OliverWyman-Navigator,75558976.52777778,8234.527777777777,883.8360176992691
New York,OliverWyman-Navigator,22455508.138888884,4658.972222222222,633.9204787887958
Ohio,OliverWyman-Navigator,135715943.52777776,10968.194444444443,919.0351880565089
Oklahoma,OliverWyman-Navigator,50509993.361111104,6775.25,727.2603155158571
Oregon,OliverWyman-Navigator,6081946.638888888,2328.638888888889,628.9941419085304
Pennsylvania,OliverWyman-Navigator,48643814.0,6714.38888888889,925.965601005487
Rhode Island,OliverWyman-Navigator,427923.1666666667,602.3333333333334,inf
South Carolina,OliverWyman-Navigator,175392252.6388889,12322.972222222224,904.3521871095414
South Dakota,OliverWyman-Navigator,244268.97222222222,476.3055555555555,510.69261799597774
Tennessee,OliverWyman-Navigator,370612224.1666667,18341.277777777777,1074.8950296375722
Texas,OliverWyman-Navigator,6611161644.055554,74288.27777777778,1005.1606572156311
Utah,OliverWyman-Navigator,16208161.611111112,3838.555555555555,796.6609819405667
Virginia,OliverWyman-Navigator,65932046.22222223,7464.055555555556,731.6127717092781
Vermont,OliverWyman-Navigator,1058.638888888889,29.805555555555557,451.1769480519481
Washington,OliverWyman-Navigator,35886287.55555556,5635.722222222222,inf
Wisconsin,OliverWyman-Navigator,59999780.638888896,7376.805555555556,757.186993902662
West Virginia,OliverWyman-Navigator,1454379.9166666667,1125.361111111111,818.1661328164984
Wyoming,OliverWyman-Navigator,105353.77777777777,311.8333333333333,1063.3493385064369
US,DDS-NBDS,71466018333.52785,235721.273475,462.4031861989189
Alaska,DDS-NBDS,176200.55335068807,352.11677064799824,422.5439513948814
Alabama,DDS-NBDS,50917923.41273357,6259.231014124622,437.7976882776968
Arkansas,DDS-NBDS,10864996.458417572,2994.5897759320474,inf
Arizona,DDS-NBDS,113899770.21552804,8967.41708012608,836.6270631854147
California,DDS-NBDS,1056289042.410972,29015.58864010103,522.8187128398063
Colorado,DDS-NBDS,5958846.388820731,2174.757358685116,647.7628346703416
Connecticut,DDS-NBDS,126225.74279244669,319.5446671928625,inf
