state,model,MSE,MAE,MAPE
US,CU-nochange,25104457745.812,32249.428,34.684691796105575
Alaska,CU-nochange,49417.49733333333,33.37866666666666,329.1386974789915
Alabama,CU-nochange,3546786.679333334,432.12999999999994,72.08132395719271
Arkansas,CU-nochange,290069.10733333335,162.37266666666667,96.04358368106982
Arizona,CU-nochange,28242896.91333333,1165.7893333333332,143.50419680113475
California,CU-nochange,483702506.43,4033.6299999999987,115.72248628379639
Colorado,CU-nochange,14007110.513333336,621.6186666666667,54.0649679176045
Connecticut,CU-nochange,13111926.328666668,849.4566666666668,25.865770009306114
Delaware,CU-nochange,461928.47466666676,202.17066666666665,65.39716057508987
Florida,CU-nochange,215738391.65466663,3325.1786666666662,142.34415337984692
Georgia,CU-nochange,18972624.824666668,816.0113333333334,44.81614062164135
Hawaii,CU-nochange,364138.89533333346,83.94466666666668,487.7282097589374
Iowa,CU-nochange,617136.2699999999,226.92733333333334,50.07153377927902
Idaho,CU-nochange,16201.254,32.442,37.11684367882812
Illinois,CU-nochange,66433084.02000002,1713.356,41.70169688170735
Indiana,CU-nochange,6489782.804,449.6653333333334,25.40516643807614
Kansas,CU-nochange,844494.0266666667,155.67866666666666,75.64669689920557
Kentucky,CU-nochange,901497.1986666669,164.70266666666666,43.73665575520572
Louisiana,CU-nochange,6307736.793333331,486.0960000000001,18.70667566038438
Massachusetts,CU-nochange,37847427.769999996,1640.2566666666667,28.801260493725476
Maryland,CU-nochange,11982660.709333338,761.1986666666667,35.75483020634705
Maine,CU-nochange,389466.5313333334,95.75266666666663,131.76579788238763
Michigan,CU-nochange,49056813.22466666,1339.374,26.94791227161021
Minnesota,CU-nochange,2240430.6459999997,328.88866666666667,39.584356835457946
Missouri,CU-nochange,7500922.502666664,485.36799999999994,68.62269377282419
Mississippi,CU-nochange,390119.1833333333,176.58066666666664,27.20469875436392
Montana,CU-nochange,99363.80800000002,50.104000000000006,302.4902220816389
North Carolina,CU-nochange,14604190.816666668,949.3033333333332,113.38160554474375
North Dakota,CU-nochange,387.04733333333337,10.266000000000002,19.961472646518008
Nebraska,CU-nochange,27600.733999999993,62.76466666666668,37.346130530578264
New Hampshire,CU-nochange,864579.2520000002,152.39333333333332,88.75590891113892
New Jersey,CU-nochange,61534098.01066668,2422.693333333333,22.434351727345238
New Mexico,CU-nochange,190317.14466666672,87.87,30.562495818076876
Nevada,CU-nochange,649373.6966666667,188.94333333333327,45.0330808986553
New York,CU-nochange,221938447.88933334,3884.4306666666675,13.661744170988364
Ohio,CU-nochange,8013749.5453333305,618.1933333333334,32.22664866142404
Oklahoma,CU-nochange,1524143.1439999994,227.44933333333336,72.40995651113417
Oregon,CU-nochange,3956583.0733333323,309.61199999999997,218.29519166870807
Pennsylvania,CU-nochange,41804938.02133333,1372.704,30.685414596064312
Rhode Island,CU-nochange,710398.4346666667,249.43200000000002,44.64482806977442
South Carolina,CU-nochange,3784603.9766666675,488.56466666666665,93.9632609325098
South Dakota,CU-nochange,67980.284,79.27600000000001,169.39088525351576
Tennessee,CU-nochange,7098260.736666667,554.7139999999999,167.58945357992036
Texas,CU-nochange,96601692.93866667,1998.4666666666662,125.63603009575772
Utah,CU-nochange,1253040.9193333336,255.4486666666666,267.1887203110723
Virginia,CU-nochange,5884863.064666664,506.31,43.74224327423853
Vermont,CU-nochange,215282.75466666673,70.67066666666666,133.43768104559092
Washington,CU-nochange,19431761.40266667,726.096,71.85859857834612
Wisconsin,CU-nochange,5764720.039333334,488.01266666666663,98.41399845942911
West Virginia,CU-nochange,9366.284,23.737333333333332,33.33918224890474
Wyoming,CU-nochange,9410.759333333332,15.20333333333333,154.49867413632117
US,RobertWalraven-ESG,99028670.19626231,7163.54266777954,5.0057329936489126
Alaska,RobertWalraven-ESG,3.3615222994160665,1.3450203565932373,6.927003101479899
Alabama,RobertWalraven-ESG,9940727.147257583,1240.166925415412,85.67515528030283
Arkansas,RobertWalraven-ESG,327.55386229008917,14.78882306723616,3.9006859115481514
Arizona,RobertWalraven-ESG,201410.09433326646,325.52686939692177,10.657691865479796
California,RobertWalraven-ESG,7561430.099682923,1372.864439492823,16.51826812983679
Colorado,RobertWalraven-ESG,223521.17804880955,203.18701611925698,11.339131358896102
Connecticut,RobertWalraven-ESG,13106.500959112425,76.8210252617423,1.7432345738152604
Delaware,RobertWalraven-ESG,7206.589026941581,40.09742120342138,6.954120792660352
Florida,RobertWalraven-ESG,60090643.78661669,3165.70826461024,55.27923815832227
Georgia,RobertWalraven-ESG,51849.251430414006,165.33839961389225,4.849805784108778
Hawaii,RobertWalraven-ESG,98.625,5.541666666666667,21.654647435897438
Iowa,RobertWalraven-ESG,5559.4475652009205,43.05429327912823,5.258139396144082
Idaho,RobertWalraven-ESG,613.5532723700168,16.467483013675835,12.036598288830854
Illinois,RobertWalraven-ESG,130491.58353773813,216.31437279664323,2.8621002958163713
Indiana,RobertWalraven-ESG,151622.12638092623,228.77600610428368,7.957863885197514
Kansas,RobertWalraven-ESG,689.2522793636767,17.70959780180343,5.441882876967563
Kentucky,RobertWalraven-ESG,38565.097742785365,95.47901498945107,13.786515083211958
Louisiana,RobertWalraven-ESG,525342.0230093417,349.6595160131912,9.483812809789754
Massachusetts,RobertWalraven-ESG,3966.593416109563,46.15806753201173,0.5442597454338319
Maryland,RobertWalraven-ESG,295476.8856460658,275.25649065359096,8.036775215689243
Maine,RobertWalraven-ESG,542.6297144098579,9.539107117486292,8.025952505415445
Michigan,RobertWalraven-ESG,123313.70568914893,227.21876066031402,3.557576017097313
Minnesota,RobertWalraven-ESG,945.136605342244,22.36449346786922,1.4041412000848832
Missouri,RobertWalraven-ESG,10906.709578428403,68.56850611318903,5.784485255565502
Mississippi,RobertWalraven-ESG,462874.1200615964,320.0023290688562,21.91329160250598
Montana,RobertWalraven-ESG,282.7551677689438,8.45017946170806,18.96221332602947
North Carolina,RobertWalraven-ESG,362524.71856011,272.2719519046288,15.170804710350628
North Dakota,RobertWalraven-ESG,59.389914378837226,5.87496383805341,6.104485664140116
Nebraska,RobertWalraven-ESG,48550.22151232248,92.30427549400329,29.333209051603323
New Hampshire,RobertWalraven-ESG,21066.22526140789,60.67797361307493,14.87526936076312
New Jersey,RobertWalraven-ESG,33736532.79309207,3613.7637365273486,22.938463059354504
New Mexico,RobertWalraven-ESG,7130.857560745371,44.950458538624446,7.461026761833673
Nevada,RobertWalraven-ESG,61159.44276387385,131.98637178927802,18.41746016128471
New York,RobertWalraven-ESG,22557637.282026667,3352.238625746396,10.303055171483727
Ohio,RobertWalraven-ESG,335504.0042146672,278.17147190943405,8.465927940509856
Oklahoma,RobertWalraven-ESG,4482.063441321052,39.169399614497436,8.042652279787
Oregon,RobertWalraven-ESG,7346.8679300659915,44.54493717460045,15.840690238623866
Pennsylvania,RobertWalraven-ESG,61427.89443495487,157.72103444253284,2.2208716366959464
Puerto Rico,RobertWalraven-ESG,384.8321057881871,14.886467221758963,7.757921060029308
Rhode Island,RobertWalraven-ESG,66206.7258547043,119.15357876443984,11.902393327774776
South Carolina,RobertWalraven-ESG,89416.38159131593,200.56651434380086,14.58003629055905
South Dakota,RobertWalraven-ESG,1274.2070675260202,18.040162012828684,14.897788959334763
Tennessee,RobertWalraven-ESG,276009.4263390933,254.03022393430925,26.864549207556543
Texas,RobertWalraven-ESG,59025850.27193613,3150.658821933276,64.17268068273245
Utah,RobertWalraven-ESG,43023.01650640825,86.04205798137235,31.66039975873175
Virginia,RobertWalraven-ESG,2105.560730797245,36.62873806811779,1.7819664998496063
Vermont,RobertWalraven-ESG,5.5100011414952235,1.8356448954761073,3.277937313350192
Washington,RobertWalraven-ESG,187338.36190799973,188.62852575723576,12.649892281143973
Wisconsin,RobertWalraven-ESG,64107.43386318456,104.35565416317112,11.765337008914258
West Virginia,RobertWalraven-ESG,162.88250316210113,6.2732464461251904,6.115870125595405
Wyoming,RobertWalraven-ESG,69.79726620686566,4.319559207174804,17.41002875734817
US,Covid19Sim-Simulator,43351574.38458364,4884.477620369811,3.6046151237188533
Alaska,Covid19Sim-Simulator,4.403510663838828,1.4992281870162,8.579555090012677
Alabama,Covid19Sim-Simulator,17905.146342011565,100.95172340726705,8.437512202841612
Arkansas,Covid19Sim-Simulator,1919.6205166837708,34.53043326843399,10.848619328248665
Arizona,Covid19Sim-Simulator,203153.98121730948,304.3245699538421,12.78333840591101
California,Covid19Sim-Simulator,448781.92101074837,487.77141223496085,6.794061662925131
Colorado,Covid19Sim-Simulator,2802.8271112801244,43.79325167257352,2.566623110479945
Connecticut,Covid19Sim-Simulator,4641.92974213018,49.92965045202442,1.1566501227779686
Delaware,Covid19Sim-Simulator,1831.4610067364504,29.77018805059663,5.721120482742288
Florida,Covid19Sim-Simulator,615903.8157477399,569.0363395374657,12.083436510527237
Georgia,Covid19Sim-Simulator,76615.44542649708,195.130172751158,6.406252856870663
Hawaii,Covid19Sim-Simulator,5.743808159155628,1.5941348595720992,6.678049011847416
Iowa,Covid19Sim-Simulator,4942.096641123684,54.88955888277155,7.372756125381817
Idaho,Covid19Sim-Simulator,218.84126536528103,10.875126044379229,8.528199716304945
Illinois,Covid19Sim-Simulator,93221.59313411746,237.277475896282,3.327076987575966
Indiana,Covid19Sim-Simulator,12795.100903421824,76.52911703956698,2.832023063008991
Kansas,Covid19Sim-Simulator,320.74970034159946,14.520317487801314,4.7074695801843065
Kentucky,Covid19Sim-Simulator,2724.295082056306,35.92443005307846,5.748871101354115
Louisiana,Covid19Sim-Simulator,25270.412840582478,118.29812229885852,3.4017694524384785
Massachusetts,Covid19Sim-Simulator,66009.68326589004,181.3635712666438,2.219700618475515
Maryland,Covid19Sim-Simulator,6698.238575333406,68.72137668299828,2.1485629733179277
Maine,Covid19Sim-Simulator,20.361737915233633,3.526657354641661,3.2101318194743405
Michigan,Covid19Sim-Simulator,30217.84811055834,106.33287585762214,1.7103163343274117
Minnesota,Covid19Sim-Simulator,9059.384643503776,78.46364597943672,5.1867773050961254
Missouri,Covid19Sim-Simulator,9782.808348118919,59.21264787174823,5.50392475003742
Mississippi,Covid19Sim-Simulator,15047.876412950967,83.32637129216329,6.764945154234024
Montana,Covid19Sim-Simulator,79.31692306566188,6.027603114960325,16.100721036047265
North Carolina,Covid19Sim-Simulator,19489.19150587527,118.8155594772106,7.820384218013465
North Dakota,Covid19Sim-Simulator,28.134500779856516,4.504025171486877,5.1530653871061975
Nebraska,Covid19Sim-Simulator,208.87173508741168,12.39150779020989,4.44840208013571
New Hampshire,Covid19Sim-Simulator,2469.308718445054,28.796347100830214,7.727241822258368
New Jersey,Covid19Sim-Simulator,2078424.823598016,902.362216815843,5.891800587279659
New Mexico,Covid19Sim-Simulator,3100.4394018902717,37.566842772925014,7.075092393352108
Nevada,Covid19Sim-Simulator,3648.1689471711143,41.62322942447369,6.5606782713579115
New York,Covid19Sim-Simulator,264832.91052333603,387.3567324286796,1.204265122687474
