state,model,MSE,MAE,MAPE
US,ARIMA,36843.80321825633,139.2879875510771,21.074121149994443
Alaska,ARIMA,0.2487522250275608,0.39271547355853953,inf
Alabama,ARIMA,149.9291418547847,9.871323205814473,inf
Arkansas,ARIMA,18.826855291324495,3.374728925185737,inf
Arizona,ARIMA,1343.6345221952004,30.28905181179023,inf
Colorado,ARIMA,24.303543405957495,3.8572743046597098,inf
Connecticut,ARIMA,19.429981302498035,3.263094470023747,inf
District of Columbia,ARIMA,1.3576828097960125,0.9735548148830556,inf
Delaware,ARIMA,121.31309051854485,4.2331841775363825,inf
Florida,ARIMA,1473.1847752552096,26.88795923639131,27.185401853769392
Georgia,ARIMA,484.6109816145961,16.94940973928351,inf
Guam,ARIMA,5.818684257909119e-17,7.519676655243449e-09,inf
Hawaii,ARIMA,0.8566463248631186,0.5877053934855393,inf
Iowa,ARIMA,14.20563061621345,2.871988742714397,inf
Idaho,ARIMA,7.913747465221756,1.9608117884678025,inf
Kansas,ARIMA,5.4638086766767495,1.8793873936977625,inf
Kentucky,ARIMA,9.554878031685348,2.6368098749565885,inf
Louisiana,ARIMA,242.74642565464148,12.052914567601617,inf
Massachusetts,ARIMA,121.15651607283965,8.911404712943312,inf
Maryland,ARIMA,22.755033402493538,3.9008418587141396,54.25427616951343
Maine,ARIMA,0.43404378670644084,0.5455726398118677,inf
Michigan,ARIMA,71.85262551878427,6.69569200959326,inf
Minnesota,ARIMA,38.785309560396854,3.275480374045601,inf
Missouri,ARIMA,47.14595787251622,5.0717551082979835,inf
Mississippi,ARIMA,163.05737116600815,9.560217444982896,inf
Montana,ARIMA,1.9492827772408328,1.037934289510468,inf
North Dakota,ARIMA,1.127998168749949,0.7804501589790335,inf
Nebraska,ARIMA,6.9271277180703255,2.1554436759918674,inf
New Hampshire,ARIMA,2.701461975193991,1.2728990671726652,inf
New Jersey,ARIMA,367.86380782395844,13.560693036189997,inf
New Mexico,ARIMA,5.760837908563564,1.9169195324707395,inf
Nevada,ARIMA,56.64420953042596,5.5060663617146846,inf
Ohio,ARIMA,174.12625397842342,10.873549769689951,inf
Oklahoma,ARIMA,10.753791035781392,2.447573951345218,inf
Oregon,ARIMA,9.430281480395868,2.466551279843968,inf
US,ARGOnet,123026.76035052097,276.29412901121,35.833584169599206
California,ARGOnet,6277.014687880451,64.31510576927225,63.33469220494541
Massachusetts,ARGOnet,2241.8218333019786,40.87693897592824,inf
Michigan,ARGOnet,1147.2586260587914,29.806308478768678,inf
New Jersey,ARGOnet,12413.375129626165,100.79207238297849,inf
New York,ARGOnet,14821.870590800198,89.49301656080407,1003.5266960531724
Texas,ARGOnet,26043.136260141135,119.72763125742708,inf
Washington,ARGOnet,91.07492111104962,7.356401420287742,inf
