,location,target,target_end_date,forecast_date,point,quantile
105,US,1 wk ahead inc case,2020-06-06,2020-06-06,24337.574,NA
106,US,1 wk ahead inc case,2020-06-07,2020-06-06,19640.815,NA
107,US,1 wk ahead inc case,2020-06-08,2020-06-06,21766.835,NA
108,US,1 wk ahead inc case,2020-06-09,2020-06-06,21968.59,NA
109,US,1 wk ahead inc case,2020-06-10,2020-06-06,23198.041,NA
110,US,1 wk ahead inc case,2020-06-11,2020-06-06,24030.531,NA
111,US,1 wk ahead inc case,2020-06-12,2020-06-06,24337.574,NA
112,US,2 wk ahead inc case,2020-06-06,2020-06-06,24337.574,NA
113,US,2 wk ahead inc case,2020-06-07,2020-06-06,19640.815,NA
114,US,2 wk ahead inc case,2020-06-08,2020-06-06,21766.835,NA
115,US,2 wk ahead inc case,2020-06-09,2020-06-06,21968.59,NA
116,US,2 wk ahead inc case,2020-06-10,2020-06-06,23198.041,NA
117,US,2 wk ahead inc case,2020-06-11,2020-06-06,24030.531,NA
118,US,2 wk ahead inc case,2020-06-12,2020-06-06,24337.574,NA
119,US,2 wk ahead inc case,2020-06-13,2020-06-06,24337.574,NA
120,US,2 wk ahead inc case,2020-06-14,2020-06-06,21668.564,NA
121,US,2 wk ahead inc case,2020-06-15,2020-06-06,23371.07,NA
122,US,2 wk ahead inc case,2020-06-16,2020-06-06,24158.379,NA
123,US,2 wk ahead inc case,2020-06-17,2020-06-06,24218.078,NA
124,US,2 wk ahead inc case,2020-06-18,2020-06-06,24289.871,NA
125,US,2 wk ahead inc case,2020-06-19,2020-06-06,24337.574,NA
