location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-11,2020-06-11,22024.89,NA
US,1 wk ahead inc case,2020-06-12,2020-06-11,22871.984,NA
US,1 wk ahead inc case,2020-06-13,2020-06-11,22871.984,NA
US,1 wk ahead inc case,2020-06-14,2020-06-11,19207.708,NA
US,1 wk ahead inc case,2020-06-15,2020-06-11,20896.262,NA
US,1 wk ahead inc case,2020-06-16,2020-06-11,22099.744,NA
US,1 wk ahead inc case,2020-06-17,2020-06-11,22609.398,NA
US,2 wk ahead inc case,2020-06-11,2020-06-11,22024.89,NA
US,2 wk ahead inc case,2020-06-12,2020-06-11,22871.984,NA
US,2 wk ahead inc case,2020-06-13,2020-06-11,22871.984,NA
US,2 wk ahead inc case,2020-06-14,2020-06-11,19207.708,NA
US,2 wk ahead inc case,2020-06-15,2020-06-11,20896.262,NA
US,2 wk ahead inc case,2020-06-16,2020-06-11,22099.744,NA
US,2 wk ahead inc case,2020-06-17,2020-06-11,22609.398,NA
US,2 wk ahead inc case,2020-06-18,2020-06-11,23021.632,NA
US,2 wk ahead inc case,2020-06-19,2020-06-11,22871.984,NA
US,2 wk ahead inc case,2020-06-20,2020-06-11,22871.984,NA
US,2 wk ahead inc case,2020-06-21,2020-06-11,18771.481,NA
US,2 wk ahead inc case,2020-06-22,2020-06-11,22099.744,NA
US,2 wk ahead inc case,2020-06-23,2020-06-11,22913.171,NA
US,2 wk ahead inc case,2020-06-24,2020-06-11,22915.846,NA
