location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-13,2020-06-13,52460.00046735548,NA
US,1 wk ahead inc case,2020-06-14,2020-06-13,54231.896123958366,NA
US,1 wk ahead inc case,2020-06-15,2020-06-13,55970.7877743573,NA
US,1 wk ahead inc case,2020-06-16,2020-06-13,57666.75363415631,NA
US,1 wk ahead inc case,2020-06-17,2020-06-13,59309.59770173907,NA
US,1 wk ahead inc case,2020-06-18,2020-06-13,60888.95387040644,NA
US,1 wk ahead inc case,2020-06-19,2020-06-13,62394.4077652878,NA
US,2 wk ahead inc case,2020-06-13,2020-06-13,52359.092360694085,NA
US,2 wk ahead inc case,2020-06-14,2020-06-13,54131.59903052189,NA
US,2 wk ahead inc case,2020-06-15,2020-06-13,55871.69302190992,NA
US,2 wk ahead inc case,2020-06-16,2020-06-13,57569.48765883309,NA
US,2 wk ahead inc case,2020-06-17,2020-06-13,59214.81672532204,NA
US,2 wk ahead inc case,2020-06-18,2020-06-13,60797.3379595802,NA
US,2 wk ahead inc case,2020-06-19,2020-06-13,62306.65337834374,NA
US,2 wk ahead inc case,2020-06-20,2020-06-13,63732.43429046889,NA
US,2 wk ahead inc case,2020-06-21,2020-06-13,65064.55699743429,NA
US,2 wk ahead inc case,2020-06-22,2020-06-13,66293.24590180365,NA
US,2 wk ahead inc case,2020-06-23,2020-06-13,67409.21517602839,NA
US,2 wk ahead inc case,2020-06-24,2020-06-13,68403.8104215941,NA
US,2 wk ahead inc case,2020-06-25,2020-06-13,69269.14714769847,NA
US,2 wk ahead inc case,2020-06-26,2020-06-13,69998.24021428646,NA
