location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-21,2020-06-21,20512.95021606282,NA
US,1 wk ahead inc case,2020-06-22,2020-06-21,20764.448419721877,NA
US,1 wk ahead inc case,2020-06-23,2020-06-21,20962.693801913247,NA
US,1 wk ahead inc case,2020-06-24,2020-06-21,21130.773963041058,NA
US,1 wk ahead inc case,2020-06-25,2020-06-21,21317.962898820853,NA
US,1 wk ahead inc case,2020-06-26,2020-06-21,21429.97846469573,NA
US,1 wk ahead inc case,2020-06-27,2020-06-21,21473.11966237006,NA
US,2 wk ahead inc case,2020-06-21,2020-06-21,20499.70684608489,NA
US,2 wk ahead inc case,2020-06-22,2020-06-21,20751.358205351775,NA
US,2 wk ahead inc case,2020-06-23,2020-06-21,20954.15583384474,NA
US,2 wk ahead inc case,2020-06-24,2020-06-21,21120.3809158177,NA
US,2 wk ahead inc case,2020-06-25,2020-06-21,21308.914748134783,NA
US,2 wk ahead inc case,2020-06-26,2020-06-21,21426.339190719853,NA
US,2 wk ahead inc case,2020-06-27,2020-06-21,21471.002677403303,NA
US,2 wk ahead inc case,2020-06-28,2020-06-21,21515.90972455721,NA
US,2 wk ahead inc case,2020-06-29,2020-06-21,21503.93389685464,NA
US,2 wk ahead inc case,2020-06-30,2020-06-21,21440.681287399475,NA
US,2 wk ahead inc case,2020-07-01,2020-06-21,21385.954508349703,NA
US,2 wk ahead inc case,2020-07-02,2020-06-21,21297.22405844286,NA
US,2 wk ahead inc case,2020-07-03,2020-06-21,21145.45967671436,NA
US,2 wk ahead inc case,2020-07-04,2020-06-21,20988.717727523483,NA
