location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-06-27,2020-06-26,1366387,NA
US,Daily Cases,2020-06-28,2020-06-26,1379067,NA
US,Daily Cases,2020-06-29,2020-06-26,1392467.1,NA
US,Daily Cases,2020-06-30,2020-06-26,1406542.5,NA
US,Daily Cases,2020-07-01,2020-06-26,1421543.2,NA
US,Daily Cases,2020-07-02,2020-06-26,1437327.4,NA
US,Daily Cases,2020-07-03,2020-06-26,1454064,NA
US,Daily Cases,2020-07-04,2020-06-26,1471568.6,NA
US,Daily Cases,2020-07-05,2020-06-26,1489971.8,NA
US,Daily Cases,2020-07-06,2020-06-26,1509036.4,NA
US,Daily Cases,2020-07-07,2020-06-26,1528863.4,NA
US,Daily Cases,2020-07-08,2020-06-26,1549114.4,NA
US,Daily Cases,2020-07-09,2020-06-26,1569888.2,NA
US,Daily Cases,2020-07-10,2020-06-26,1590909.5,NA
US,Daily Cases,2020-07-11,2020-06-26,1612338.2,NA
US,Daily Cases,2020-07-12,2020-06-26,1633964.9,NA
US,Daily Cases,2020-07-13,2020-06-26,1655999.8,NA
US,Daily Cases,2020-07-14,2020-06-26,1678260.2,NA
US,Daily Cases,2020-07-15,2020-06-26,1700864.5,NA
US,Daily Cases,2020-07-16,2020-06-26,1723640.8,NA
US,Daily Cases,2020-07-17,2020-06-26,1746749.4,NA
US,Daily Cases,2020-07-18,2020-06-26,1769962.4,NA
US,Daily Cases,2020-07-19,2020-06-26,1793470.4,NA
US,Daily Cases,2020-07-20,2020-06-26,1817375.8,NA
US,Daily Cases,2020-07-21,2020-06-26,1841481.2,NA
US,Daily Cases,2020-07-22,2020-06-26,1865826.2,NA
US,Daily Cases,2020-07-23,2020-06-26,1890193.5,NA
US,Daily Cases,2020-07-24,2020-06-26,1914656.9,NA
US,Daily Cases,2020-07-25,2020-06-26,1939041,NA
US,Daily Cases,2020-07-26,2020-06-26,1963478.8,NA
US,Daily Cases,2020-07-27,2020-06-26,1987722.6,NA
US,Daily Cases,2020-07-28,2020-06-26,2011944.9,NA
US,Daily Cases,2020-07-29,2020-06-26,2035919.5,NA
US,Daily Cases,2020-07-30,2020-06-26,2060008.6,NA
US,Daily Cases,2020-07-31,2020-06-26,2083913.5,NA
US,Daily Cases,2020-08-01,2020-06-26,2107955.2,NA
