location,target,target_end_date,forecast_date,point,quantile
US,Cumulative Cases,2020-07-14,2020-07-13,3088419,NA
US,Cumulative Cases,2020-07-15,2020-07-13,3139609.2,NA
US,Cumulative Cases,2020-07-16,2020-07-13,3192679,NA
US,Cumulative Cases,2020-07-17,2020-07-13,3247768,NA
US,Cumulative Cases,2020-07-18,2020-07-13,3304911.8,NA
US,Cumulative Cases,2020-07-19,2020-07-13,3364111.5,NA
US,Cumulative Cases,2020-07-20,2020-07-13,3425212.8,NA
US,Cumulative Cases,2020-07-21,2020-07-13,3487871.2,NA
US,Cumulative Cases,2020-07-22,2020-07-13,3551648.2,NA
US,Cumulative Cases,2020-07-23,2020-07-13,3616133,NA
US,Cumulative Cases,2020-07-24,2020-07-13,3680999.2,NA
US,Cumulative Cases,2020-07-25,2020-07-13,3746056.5,NA
US,Cumulative Cases,2020-07-26,2020-07-13,3811221.5,NA
US,Cumulative Cases,2020-07-27,2020-07-13,3876195.2,NA
US,Cumulative Cases,2020-07-28,2020-07-13,3941058.2,NA
US,Cumulative Cases,2020-07-29,2020-07-13,4005635.5,NA
US,Cumulative Cases,2020-07-30,2020-07-13,4070012.5,NA
US,Cumulative Cases,2020-07-31,2020-07-13,4134114.2,NA
US,Cumulative Cases,2020-08-01,2020-07-13,4197794.5,NA
