location,target,target_end_date,forecast_date,point,quantile
US,Daily Cases,2020-07-16,2020-07-15,66635.97,NA
US,Daily Cases,2020-07-17,2020-07-15,68223.2,NA
US,Daily Cases,2020-07-18,2020-07-15,69669.33,NA
US,Daily Cases,2020-07-19,2020-07-15,71224.16,NA
US,Daily Cases,2020-07-20,2020-07-15,72809.625,NA
US,Daily Cases,2020-07-21,2020-07-15,73902.14,NA
US,Daily Cases,2020-07-22,2020-07-15,73999.18,NA
US,Daily Cases,2020-07-23,2020-07-15,73084.375,NA
US,Daily Cases,2020-07-24,2020-07-15,71760.14,NA
US,Daily Cases,2020-07-25,2020-07-15,70613.46,NA
US,Daily Cases,2020-07-26,2020-07-15,70313.36,NA
US,Daily Cases,2020-07-27,2020-07-15,70955.32,NA
US,Daily Cases,2020-07-28,2020-07-15,71348.945,NA
US,Daily Cases,2020-07-29,2020-07-15,74018.43,NA
US,Daily Cases,2020-07-30,2020-07-15,77788.35,NA
US,Daily Cases,2020-07-31,2020-07-15,81767.36,NA
US,Daily Cases,2020-08-01,2020-07-15,84415.82,NA
US,Daily Cases,2020-08-02,2020-07-15,84690.195,NA
